,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
13779,α14370,ἄπταιστος,a,aps---cn2-,ἄπταιστος ἄπταιστος ἄπταιστον,,,,,0
13780,α14371,ἀπταντίτας,n,----------,,,,,,0
13781,α14372,ἁπτέον,v,----------,,,,,,0
13782,α14373,ἀπτερέως,r,----------,,,,,,0
13783,α14374,ἄπτερος,a,aps---cn2-,ἄπτερος ἄπτερος ἄπτερον,,,,,0
13785,α14376,ἀπτερύομαι,v,----------,,,,,,0
13786,α14377,ἀπτερύσσομαι,v,----------,,,,,,0
13788,α14379,ἀπτήν,n,----------,,,,,,0
13789,α14380,ἁπτικός,a,aps---mn1-,ἁπτικός ἁπτική ἁπτικόν,,,,,0
13790,α14381,ἄπτιλος,a,aps---cn2-,ἄπτιλος ἄπτιλος ἄπτιλον,,,,,0
13791,α14382,ἄπτιστος,a,aps---cn2-,ἄπτιστος ἄπτιστος ἄπτιστον,,,,,0
13792,α14383,ἀπτοεπής,a,aps---cn5s,ἀπτοεπής ἀπτοεπής ἀπτοεπές,,,,,0
13793,α14384,ἀπτόητος,a,aps---cn2-,ἀπτόητος ἀπτόητος ἀπτόητον,,,,,0
13794,α14385,ἀπτολέμιστος,a,aps---cn2-,ἀπτολέμιστος ἀπτολέμιστος ἀπτολέμιστον,,,,,0
13795,α14386,ἀπτόλεμος,a,aps---cn2-,ἀπτόλεμος ἀπτόλεμος ἀπτόλεμον,,,,,0
13796,α14387,ἁπτός,a,aps---mn1-,ἁπτός ἁπτή ἁπτόν,,,,,0
13797,α14388,ἅπτρα,n,n-s---fn1l,ἅπτρας,,,,,0
13798,α14389,ἄπτυστος,a,aps---cn2-,ἄπτυστος ἄπτυστος ἄπτυστον,,,,,0
13799,α14390,ἅπτω,v,----------,,,,/háp.tɔː/,,0
13800,α14391,ἁπτώδιον,n,n-s---nn2-,ἁπτωδίου,,,,,0
13801,α14392,ἀπτώξ,n,----------,,,,,,0
13802,α14393,ἀπτώς,n,n-s---cn3d,ἀπτῶτος,,,,,0
13804,α14395,ἀπύ,s,----------,,,,,,0
13805,α14396,ἄπυγος,a,aps---cn2-,ἄπυγος ἄπυγος ἄπυγον,,,,,0
13806,α14397,ἄπυθεν,r,----------,,,,,,0
13808,α14399,ἄπυκνος,a,aps---cn2-,ἄπυκνος ἄπυκνος ἄπυκνον,,,,,0
13809,α14400,ἀπύκνωτος,a,aps---cn2-,ἀπύκνωτος ἀπύκνωτος ἀπύκνωτον,,,,,0
13810,α14401,ἄπυλος,a,aps---cn2-,ἄπυλος ἄπυλος ἄπυλον,,,,,0
13811,α14402,ἀπύλωτος,a,----------,,,,,,0
13812,α14403,ἀπυνδάκωτος,n,----------,,,,,,0
13813,α14404,ἄπυος,a,aps---cn2-,ἄπυος ἄπυος ἄπυον,,,,,0
13815,α14406,ἀπύργωτος,a,aps---cn2-,ἀπύργωτος ἀπύργωτος ἀπύργωτον,,,,,0
13816,α14407,ἀπύρεκτος,n,----------,,,,,,0
13817,α14408,ἀπυρεξία,n,n-s---fn1l,ἀπυρεξίας,,,,,0
13818,α14409,ἀπύρετος,a,----------,,,,,,0
13819,α14410,ἀπυρηνομήλη,n,n-s---fn1e,ἀπυρηνομήλης,,,,,0
13820,α14411,ἀπύρηνος,n,----------,,,,,,0
13821,α14412,ἀπυρίτης,n,n-s---mn1e,ἀπυρίτου,,,,,0
13822,α14413,ἄπυρος,a,aps---cn2-,ἄπυρος ἄπυρος ἄπυρον,,,,,0
13823,α14414,ἀπύρωτος,a,----------,,,,,,0
13825,α14416,ἀπύω,v,----------,,,,,,0
13826,α14417,ἀπφά,n,----------,,,,,,0
13827,α14418,ἀπφάριον,n,----------,,,,,,0
13777,α14368,ἀπρυτάνευτος,n,----------,,,,,,0
13830,α14421,ἀπώγων,n,n-s---mn3n,ἀπώγωνος,,,,,0
13831,α11592,ἀπῳδέω,v,----------,,,,,,0
13832,α11594,ἀπῳδός,a,aps---cn2-,ἀπῳδός ἀπῳδός ἀπῳδόν,,,,,0
13833,α14422,ἄπωθεν,r,rp--------,,,,,,0
13834,α14424,ἀπωθέω,v,----------,,,,,,0
13835,α14425,ἀπώθησις,n,n-s---fn3v,ἀπωθησέως,,,,,0
13836,α14426,ἀπωθητής,n,n-s---mn1e,ἀπωθητού,,,,,0
13838,α14428,ἀπωθία,n,n-s---fn1l,ἀπωθίας,,,,,0
13839,α14429,ἀπώλεια,n,n-s---fn1s,ἀπώλειας,,,,,0
13841,α14431,ἀπώλευτος,a,aps---cn2-,ἀπώλευτος ἀπώλευτος ἀπώλευτον,,,,,0
13842,α14432,ἀπωλία,n,n-s---fn1l,ἀπωλίας,,,,,0
13843,α14433,ἀπώμαστος,a,aps---cn2-,ἀπώμαστος ἀπώμαστος ἀπώμαστον,,,,,0
13844,α14434,ἄπωμος,a,aps---cn2-,ἄπωμος ἄπωμος ἄπωμον,,,,,0
13845,α14435,ἀπωμοσία,n,n-s---fn1l,ἀπωμοσίας,,,,,0
13847,α14437,ἀπώμοτος,a,aps---cn2-,ἀπώμοτος ἀπώμοτος ἀπώμοτον,,,,,0
13848,α14439,ἀπωνέομαι,v,----------,,,,,,0
13849,α14440,ἀπωρυγίζω,v,----------,,,,,,0
13850,α14441,ἀπωρυγισμός,n,----------,,,,,,0
13851,α14367,ἀπῶρυξ,n,----------,,,,,,0
13852,α14442,ἀπωρωσία,n,n-s---fn1l,ἀπωρωσίας,,,,,0
13853,α14443,ἀπώρωτος,a,aps---cn2-,ἀπώρωτος ἀπώρωτος ἀπώρωτον,,,,,0
13854,α14444,ἀπωσίκακος,n,----------,,,,,,0
13855,α14445,ἀπωσικύματος,n,----------,,,,,,0
13856,α14446,ἄπωσις,n,n-s---fn3v,ἀπωσέως,,,,,0
13857,α14447,ἀπωσμός,n,----------,,,,,,0
13858,α14448,ἀπωστέον,a,----------,,,,,,0
13861,α14451,ἀπωστός,a,aps---mn1-,ἀπωστός ἀπωστή ἀπωστόν,,,,,0
13862,α14452,ἀπωτάτω,r,----------,,,,,,0
13863,α14453,ἀπώτερος,a,aps---mn1-,ἀπώτερος ἀπώτερα ἀπώτερον,,,,,0
13864,α14454,ἀπωτέρω,r,----------,,,,,,0
13865,α14455,ἀπωτέρως,n,----------,,,,,,0
13866,α14456,ἄπωτος,a,aps---cn2-,ἄπωτος ἄπωτος ἄπωτον,,,,,0
13867,α14457,ἀπωχραίνω,v,----------,,,,,,0
13868,α14458,ἄρ,c,----------,,,,,,0
13869,α14460,ἄρα,a,----------,,,,,,0
13870,α14461,ἆρα,a,----------,,,,,,0
13871,α14462,ἀρά,n,n-s---fn1l,ἀρᾶς,,,,,0
13873,,Ἀραβαρχία,n,n-s---fn1l,Ἀραβαρχίας,,,,,0
13874,α14463,ἄραβδος,n,----------,,,,,,0
13875,α14464,ἀράβδωτος,n,----------,,,,,,0
13876,α14465,ἀραβέω,v,----------,,,,,,0
13877,,Ἀραβία,n,n-s---fn1l,Ἀραβίας,,,/a.ra.bí.aː/,,0
13878,,Ἀραβίζω,v,----------,,,,,,0
13880,α14466,ἀραβίς,n,n-s---fn3d,ἀραβίδος,,,,,0
13881,α14467,ἄραβος,a,----------,,,,,,0
13882,α14468,ἀραβοτοξότης,n,n-s---mn1e,ἀραβοτοξότου,,,,,0
13883,α14469,ἀραβών,n,----------,,,,,,0
13884,α14470,ἀράγδην,r,----------,,,,,,0
13829,α14420,ἀπφῦς,n,n-s---mn3v,ἀπφύος,,,,,0
13888,α14473,ἄραδος,n,n-s---mn2-,ἀράδου,,,,,0
13889,α14474,ἀράζω,v,----------,,,,,,0
13890,α14475,ἀραιά,n,----------,,,,,,0
13891,α14476,ἀραιάκις,n,----------,,,,,,0
13892,α14477,ἀραιόδους,n,n-s---cn3t,ἀραιόδοντος,,,,,0
13893,α14478,ἀραιόθριξ,n,----------,,,,,,0
13895,α14510,ἀραῖος,n,----------,,,,,,0
13896,α14480,ἀραιός,a,aps---mn1-,,,,,,0
13897,α14481,ἀραιόσαρκος,a,----------,,,,,,0
13899,α14483,ἀραιόστυλος,a,aps---cn2-,ἀραιόστυλος ἀραιόστυλος ἀραιόστυλον,,,,,0
13900,α14484,ἀραιοσύγκριτος,a,aps---cn2-,ἀραιοσύγκριτος ἀραιοσύγκριτος ἀραιοσύγκριτον,,,,,0
13901,α14485,ἀραιότης,n,n-s---fn3t,ἀραιότητος,,,,,0
13902,α14486,ἀραιότρητος,a,aps---cn2-,ἀραιότρητος ἀραιότρητος ἀραιότρητον,,,,,0
13903,α14487,ἀραιόφθαλμος,n,----------,,,,,,0
13904,α14488,ἀραιόφυλλος,n,----------,,,,,,0
13905,α14489,ἀραιόω,v,----------,,,,,,0
13906,α14490,ἀραίρηκα,n,----------,,,,,,0
13907,α14491,ἀραιώδης,a,----------,,,,,,0
13908,α14492,ἀραίωμα,n,----------,,,,,,0
13909,α14493,ἀραίωσις,n,n-s---fn3v,ἀραιωσέως,,,,,0
13911,α14495,ἀράκη,n,n-s---fn1e,ἀράκης,,,,,0
13912,α14496,ἀρακικός,a,aps---mn1-,ἀρακικός ἀρακική ἀρακικόν,,,,,0
13913,α14497,ἀράκιον,n,n-s---nn2-,ἀρακίου,,,,,0
13914,α14498,ἀρακίς,n,n-s---fn3d,ἀρακίδος,,,,,0
13915,α14500,ἄρακος,n,n-s---mn2-,ἀράκου,,,/á.ra.kos/,,0
13916,α14501,ἀρακόσπερμον,n,n-s---nn2-,ἀρακοσπέρμου,,,,,0
13917,α14502,ἀρακόσπορος,a,aps---cn2-,ἀρακόσπορος ἀρακόσπορος ἀρακόσπορον,,,,,0
13918,α14503,ἀρακόχερσος,a,aps---cn2-,ἀρακόχερσος ἀρακόχερσος ἀρακόχερσον,,,,,0
13919,α14504,ἀρακώδης,a,----------,,,,,,0
13920,α14505,ἄραξ,n,n-s---mn3v,ἄρακος,,,,,0
13921,α14506,ἀράξα,n,n-s---fn1l,ἀράξας,,,,,0
13922,α14507,ἄραξις,n,n-s---fn3v,ἀραξέως,,,,,0
13923,α14508,ἀραξίχειρος,n,----------,,,,,,0
13924,α14509,ἀράομαι,v,----------,,,,/aː.rá.o.mai̯/,,0
13925,α14511,ἀραρίζω,v,----------,,,,,,0
13927,α14513,ἀραρότως,a,----------,,,,,,0
13928,α14514,ἀράσιμος,a,----------,,,,,,0
13930,,Ἀράτειον,a,----------,,,,,,0
13931,α14499,ἀρακόειος,n,n-s---mn2-,ἀρακοείου,,,,,0
13932,α14516,ἀρατήριον,n,n-s---nn2-,ἀρατηρίου,,,,,0
13934,α14518,ἀρατός,a,aps---mn1-,ἀρατός ἀρατή ἀρατόν,,,,,0
13935,α14519,ἄρατρον,n,n-s---nn2-,ἀράτρου,,,,,0
13936,,Ἀράτυος,n,n-s---mn2-,Ἀρατύου,,,,,0
13937,α14520,ἀράχιδνα,n,n-s---fn1s,ἀράχιδνας,,,/a.rá.kʰi.dna/,,0
13938,α14522,ἀραχναῖος,n,----------,,,,,,0
13886,α14472,ἀραγμός,n,----------,,,,,,0
13942,α14525,ἀράχνης,n,n-s---mn1e,ἀράχνου,,,,,0
13943,α14526,ἀραχνικός,a,aps---mn1-,ἀραχνικός ἀραχνική ἀραχνικόν,,,,,0
13944,α14527,ἀράχνιον,n,n-s---nn2-,ἀραχνίου,,,,,0
13945,α14528,ἀραχνιόω,v,----------,,,,,,0
13946,α14529,ἀραχνιώδης,a,aps---cn3s,ἀραχνιώδης ἀραχνιώδης ἀραχνιώ͂δες,,,,,0
13947,α14530,ἀραχνοειδής,a,----------,,,,,,0
13948,α14531,ἄραχνος,n,n-s---mn2-,ἀράχνου,,,,,0
13949,α14532,ἀραχνοϋφής,r,----------,,,,,,0
13950,α14533,ἀραχνώδης,a,aps---cn3s,ἀραχνώδης ἀραχνώδης ἀραχνώ͂δες,,,,,0
13951,α14534,ἄραχος,n,n-s---mn2-,ἀράχου,,,,,0
13952,,Ἄραψ,n,n-s---mn3l,Ἄραβος,,,/á.raps/,,0
13953,α14535,ἀράω,v,----------,,,,,,0
13954,α14536,ἄρβηλος,n,n-s---mn2-,ἀρβήλου,,,,,0
13955,α14537,ἀρβύλη,n,n-s---fn1e,ἀρβύλης,,,,,0
13957,α14539,ἀρβυλίς,n,n-s---fn3d,ἀρβυλίδος,,,,,0
13959,,Ἀργαδῆς,n,----------,,,,,,0
13960,α14541,ἀργάεις,n,----------,,,,,,0
13962,α14542,ἀργαλεῖον,n,n-s---nn2-,ἀργαλείου,,,,,0
13963,α14543,ἀργαλέος,a,aps---mn1-,ἀργαλέος ἀργαλέα ἀργαλέον,,,,,0
13964,α14544,ἀργαλεότης,n,n-s---fn3t,ἀργαλεότητος,,,,,0
13965,α14546,ἀργαπέτης,n,n-s---mn1e,ἀργαπέτου,,,,,0
13966,α14597,ἀργᾶς,n,----------,,,,,,0
13968,α14547,ἄργειτε,n,----------,,,,,,0
13969,,Ἀργειφόντης,n,n-s---mn1e,Ἀργειφόντου,,,,,0
13970,,Ἀργειφοντίαδας,n,----------,,,,,,0
13971,α14548,ἄργελλα,n,n-s---fn1s,ἄργελλας,,,,,0
13972,α14549,ἀργέλοφοι,n,n-p---mn2-,ἀργελόφων,,,,,0
13973,α14550,ἄργεμον,n,n-s---nn2-,ἀργέμου,,,,,0
13974,α14551,ἀργεμώνη,n,n-s---fn1e,ἀργεμώνης,,,,,0
13975,α14552,ἀργεμώνιον,n,n-s---nn2-,ἀργεμωνίου,,,,,0
13976,α14553,ἀργένναος,a,aps---cn2-,ἀργένναος ἀργένναος ἀργένναον,,,,,0
13977,α14554,ἀργεννός,a,aps---mn1-,ἀργεννός ἀργεννή ἀργεννόν,,,,,0
13978,α14555,ἀργέντινος,a,----------,,,,,,0
13979,α14556,ἀργεστής,n,n-s---mn1e,ἀργεστού,,,,,0
13980,α14557,ἀργέτι,n,----------,,,,,,0
13981,α14558,ἄργετος,n,n-s---mn2-,ἀργέτου,,,,,0
13983,α14560,ἀργεφάντης,n,----------,,,,,,0
13984,α14561,ἀργέω,v,----------,,,,,,0
13985,α14562,ἀργεώτας,n,----------,,,,,,0
13986,α14563,ἀργήεις,a,----------,,,,,,0
13987,α14564,ἀργής,n,----------,,,,,,0
13988,α14598,ἀργῆς,n,----------,,,,,,0
13990,α14566,ἀργία,n,n-s---fn1l,ἀργίας,,,/ar.ɡí.aː/,,0
13992,α14568,ἀργιβρέντας,n,----------,,,,,,0
14045,α14617,ἀργύριον,n,n-s---nn2-,ἀργυρίου,,,/ar.ɡý.ri.on/,,0
13941,α14524,ἀραχνήεις,a,aps---mn4i,ἀραχνήεις ἀραχνήεσσα ἀραχνήεν,,,,,0
13995,α14571,ἀργικός,a,aps---mn1-,ἀργικός ἀργική ἀργικόν,,,,,0
13996,α14572,ἀργιλιπής,a,aps---cn3s,ἀργιλιπής ἀργιλιπής ἀργιλιπές,,,,,0
13997,α14573,ἄργιλλα,n,n-s---fn1s,ἄργιλλας,,,,,0
13998,α14574,ἄργιλλος,n,n-s---fn2-,,,,,,0
13999,α14575,ἀργιλλοφόρητος,n,----------,,,,,,0
14001,α14577,ἀργιλόεις,n,----------,,,,,,0
14002,α14578,ἀργίλοφος,n,----------,,,,,,0
14003,α14579,ἀργιμήτας,n,----------,,,,,,0
14004,α14580,ἀργινεφής,a,aps---cn5s,ἀργινεφής ἀργινεφής ἀργινεφές,,,,,0
14005,α14581,ἀργινόεις,a,aps---mn4i,ἀργινόεις ἀργινόεσσα ἀργινόεν,,,/ar.ɡi.nó.eːs/,,0
14006,α14582,ἀργιόδους,n,----------,,,,,,0
14007,α14583,ἄργιον,n,----------,,,,,,0
14008,α14584,ἀργιπόδης,n,n-s---mn1e,ἀργιπόδου,,,,,0
14009,α14585,ἀργίπους,n,----------,,,,,,0
14010,α14586,ἀργίς,n,n-s---fn3d,ἀργίδος,,,,,0
14011,α14599,ἀργῖτις,n,n-s---fn3d,ἀργίτιδος,,,,,0
14012,α14587,ἄργμα,n,n-s---nn3t,ἄργματος,,,,,0
14014,α14589,ἀργοθάνατος,a,----------,,,,,,0
14015,,Ἀργόθεν,r,----------,,,,,,0
14017,α14591,ἀργόλας,n,n-s---mn1a,ἀργόλου,,,,,0
14018,,Ἀργολίζω,v,----------,,,,,,0
14019,,Ἀργολίς,n,,,,,/ar.ɡo.lís/,,0
14020,,Ἀργολιστί,r,----------,,,,,,0
14022,,Ἀργοναύτης,n,n-s---mn1e,Ἀργοναύτου,,,,,0
14023,α14593,ἀργοποιός,a,aps---cn2-,ἀργοποιός ἀργοποιός ἀργοποιόν,,,,,0
14024,α14594,ἀργόπρακτος,a,aps---cn2-,ἀργόπρακτος ἀργόπρακτος ἀργόπρακτον,,,,,0
14025,,Αργος,n,----------,,,,,,0
14026,α14596,ἀργός,a,----------,,,,,,0
14027,α14595,ἀργός,a,aps---mn1-,ἀργός ἀργή ἀργόν,,,,,0
14028,α14600,ἀργυράγχη,n,n-s---fn1e,ἀργυράγχης,,,,,0
14030,α14602,ἀργυραμοιβός,n,----------,,,,,,0
14031,α14603,ἀργυράνθρωπος,n,n-s---mn2-,ἀργυρανθρώπου,,,,,0
14032,α14604,ἀργυράσπιδες,n,----------,,,,,,0
14033,α14605,ἀργυράφιον,n,n-s---nn2-,ἀργυραφίου,,,,,0
14035,α14607,ἀργυρένδετος,a,aps---cn2-,ἀργυρένδετος ἀργυρένδετος ἀργυρένδετον,,,,,0
14036,α14608,ἀργύρεος,n,----------,,,,,,0
14037,α14609,ἀργυρευτική,n,n-s---fn1e,ἀργυρευτικῆς,,,,,0
14038,α14610,ἀργυρεύω,v,----------,,,,,,0
14039,α14611,ἀργυρηλάτης,n,n-s---mn1e,ἀργυρηλάτου,,,,,0
14040,α14612,ἀργυρήλατος,a,aps---cn2-,ἀργυρήλατος ἀργυρήλατος ἀργυρήλατον,,,,,0
14041,α14613,ἀργυρηρός,a,aps---mn1-,ἀργυρηρός ἀργυρηρά ἀργυρηρόν,,,,,0
14042,α14614,ἀργυρίδιον,n,n-s---nn2-,ἀργυριδίου,,,,,0
14043,α14615,ἀργυρίζομαι,v,----------,,,,,,0
13994,α14570,ἀργικέρως,n,----------,,,,,,0
14050,α14622,ἀργυρόβιος,a,aps---cn2-,ἀργυρόβιος ἀργυρόβιος ἀργυρόβιον,,,,,0
14052,α14624,ἀργυρογνώμων,n,----------,,,,,,0
14053,α14625,ἀργυρογραφία,n,n-s---fn1l,ἀργυρογραφίας,,,,,0
14054,α14626,ἀργυροδάμας,n,----------,,,,,,0
14055,α14627,ἀργυροδίνης,n,----------,,,,,,0
14056,α14628,ἀργυροειδής,a,aps---cn5s,ἀργυροειδής ἀργυροειδής ἀργυροειδές,,,,,0
14057,α14629,ἀργυρόεις,a,aps---mn4i,ἀργυρόεις ἀργυρόεσσα ἀργυρόεν,,,,,0
14058,α14630,ἀργυρόηλος,a,aps---cn2-,ἀργυρόηλος ἀργυρόηλος ἀργυρόηλον,,,,,0
14059,α14631,ἀργυροθήκη,n,n-s---fn1e,ἀργυροθήκης,,,,,0
14061,α14633,ἀργυροθώραξ,n,n-s---mn3e,ἀργυροθώρακος,,,,,0
14062,α14634,ἀργυροκοπεῖον,n,n-s---nn2-,ἀργυροκοπείου,,,,,0
14063,α14635,ἀργυροκοπέω,v,----------,,,,,,0
14064,α14636,ἀργυροκοπία,n,n-s---fn1l,ἀργυροκοπίας,,,,,0
14065,α14637,ἀργυροκοπιστήρ,n,n-s---mn3r,ἀργυροκοπιστῆρος,,,,,0
14066,α14638,ἀργυροκόπος,n,n-s---mn2-,ἀργυροκόπου,,,,,0
14067,α14639,ἀργυροκορίνθιος,n,----------,,,,,,0
14068,α14640,ἀργυρόκυκλος,a,aps---cn2-,ἀργυρόκυκλος ἀργυρόκυκλος ἀργυρόκυκλον,,,,,0
14069,α14641,ἀργυρολογέω,v,----------,,,,,,0
14071,α14643,ἀργυρολόγος,a,aps---cn2-,ἀργυρολόγος ἀργυρολόγος ἀργυρολόγον,,,,,0
14072,α14644,ἀργυρομιγής,a,aps---cn5s,ἀργυρομιγής ἀργυρομιγής ἀργυρομιγές,,,,,0
14073,α14645,ἀργυρόπεζα,n,n-s---fn1s,ἀργυρόπεζας,,,,,0
14074,α14646,ἀργυρόπηχυς,n,----------,,,,,,0
14075,α14647,ἀργυροποιί̈α,n,n-s---fn1l,ἀργυροποιί̈ας,,,,,0
14076,α14648,ἀργυροποιός,n,----------,,,,,,0
14077,α14649,ἀργυρόπους,n,----------,,,,,,0
14078,α14650,ἀργυροπράτης,n,n-s---mn1e,ἀργυροπράτου,,,,,0
14079,α14651,ἀργυρόπρυμνον,n,n-s---nn2-,ἀργυροπρύμνου,,,,,0
14080,α14652,ἀργυρόριζος,a,aps---cn2-,ἀργυρόριζος ἀργυρόριζος ἀργυρόριζον,,,,,0
14082,α14654,ἀργυρορυχή,n,n-s---fn1e,ἀργυρορυχῆς,,,,,0
14083,α14655,ἄργυρος,n,n-s---mn2-,ἀργύρου,,,/ár.ɡy.ros/,,0
14084,α14656,ἀργυροσκόπος,n,n-s---cn2-,ἀργυροσκόπου,,,,,0
14085,α14657,ἀργυροστερής,a,aps---cn5s,ἀργυροστερής ἀργυροστερής ἀργυροστερές,,,,,0
14086,α14658,ἀργυροταμεία,n,n-s---fn1l,ἀργυροταμείας,,,,,0
14087,α14659,ἀργυροταμίας,n,n-s---mn1a,ἀργυροταμίου,,,,,0
14089,α14661,ἀργυροταμιεύω,v,----------,,,,,,0
