nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
149031,L9948018,n,1,"a city of Lucania, on the Tarentine Gulf, built upon the site of the ancient Sybaris",2775
149041,L9964557,n,1,a harbor between Sybaris and Tarentum,
149047,L9985458,n,1,"an Arcadian, slain by the Calydonian bcar",
149049,L9985720,n,1,"a village in Megaris, afterwards belonging to Corinth, laid waste by a wild sow, which was slain at last by Theseus",
149052,L9991545,n,1,the name of several kings after Alexander the Great,
149065,W0005495,n,10,,
149077,W0021081,n,10,,
149078,W0021084,n,10,,
149080,W0021171,n,10,"luogo, ambiente, persona da cui ha origine qualcosa di negativo, di riprovevole",
149081,W0021196,n,10,,
149089,L4409650,p,1,"in, within",
149090,L6888735,p,1,away from,
149091,L1461819,r,1,if at any time,
149092,L1545907,r,1,up to the time that,
149093,L1712360,r,1,in the prescribed manner,
149094,L1740195,r,1,in every respect,
149096,L2145752,r,1,by name,
149097,L2159882,r,1,on no other condition,
149101,L3557343,r,1,four times,
149103,L4784007,r,1,"without a will, intestate",
149104,L5186054,r,1,"if not, unless",
149105,L5833850,r,1,"if however, if on the contrary, but if",
149083,W0021208,n,10,,2606
149102,L4120348,r,1,lest from anywhere,1462
149054,L9999714,n,1,"a very old town in Sicily, not far from Enna, the birthplace of Diodorus Siculus",2775
149079,W0021124,n,10,"in un database, ogni area in cui vengono registrate le singole informazioni che compongono il record (ad esempio nomi, numeri ecc.)",1355
149060,W0003171,n,10,,1422
149082,W0021199,n,10,,1782
149055,W0003097,n,10,,1768
149056,W0003110,n,10,,2638
149059,W0003149,n,10,,2638
149057,W0003117,n,10,,1794
149051,L9990681,n,1,forager,1781
149099,L2737297,r,1,at full trot,1946
149058,W0003126,n,10,"in ambito artistico-letterario, la rappresentazione dellesperienza individuale dellautore",2425
149062,W0005491,n,10,il gesto tecnico fondamentale per segnare un goal,2638
149061,W0005162,n,10,si occupa dell'amministrazione degli organi giudiziari,"1718,1820"
149063,W0005492,n,10,"""Il goal della vittoria viene siglato da Fioravanti nella parte finale della gara.""",2638
149066,W0005496,n,10,"""Il mondo degli affari da alcuni anni e' animato da una nuova filosofia imprenditoriale",1753
149067,W0005497,n,10,"legge italiana (1970) a tutela della dignita', della salute, della professionalita' e della liberta' politica e sindacale dei lavoratori",1718
149068,W0005498,n,10,l'organo monocratico posto al vertice di un partito politico,1718
149069,W0005500,n,10,"""la legge disciplina il finanziamento dei partiti, con riguardo alle loro organizzazioni centrali e periferiche.""",1718
149070,W0005501,n,10,"""Essere iscritto nel registro degli indagati sostanzialmente non significa niente in termini di valutazione sulla colpevolezza di un individuo.""",1802
149071,W0005504,n,10,colui che e' sottoposto a indagine preliminare,2516
149072,W0005505,n,10,"""Il governo sarà eletto attraverso una procedura volta a favorire l’unità nazionale.""",1718
149073,W0005506,n,10,"""Il panorama politico inglese vede da alcuni anni la crescita di movimenti di estrema destra""",1718
149074,W0005507,n,10,alleggerimento o eliminazione di un onere fiscale,1753
149075,W0005508,n,10,"la posizione di partenza più vantaggiosa, in prima fila e interna rispetto alla curva che viene assegnata a chi ha conseguito il miglior tempo nei giri di prova",2638
149076,W0005509,n,10,prima posizione,2638
149084,Y0005590,n,10,NULL,1802
149085,Y0005591,n,10,NULL,1753
149100,L2938926,r,1,"if anywhere, wheresoever",1462
149042,L9967521,n,1,"a brother of Trophonius, with whom he built the temple to the Delphic Apollo",1666
149048,L9985692,n,1,an island in the North Sea,2775
149046,L9984773,n,1,the Greek poet Homer,2748
149053,L9992911,n,1,a poetical appellation of Apollo as the god of light,1666
149044,L9981159,n,1,"a city of Mesopotamia, the capital of the Arabes Praetavi",2775
149050,L9986346,n,1,"an island off the Indian coast, famous for pearls",2775
149043,L9977110,n,1,a people of Libya,1696
149045,L9981970,n,1,a cognomen in the Manlian gens,2792
149088,L3716974,p,1,toward,1462
149086,L2141101,p,1,to,1462
149087,L3315180,p,1,"near to, close by",1462
149095,L2064169,r,1,all through the year,1463
149098,L2556264,r,1,in the manner of a woman,1684
149106,L6061724,r,1,"from any point, source, side",
149107,L6201980,r,1,village by village,
149108,L6785680,r,1,by daylight,
149109,L6853365,r,1,on the other side,
149114,L9232551,r,1,"whenever, at whatever time",
149117,W0003169,r,10,"in un luogo, condizione, situazione di protezione e sicurezza",
149118,W0003180,r,10,,
149121,L1475110,v,1,live alone,
149123,L1584442,v,1,"send around, to different parts",
149125,L1902369,v,1,sleep apart from one's spouse or lover,
149126,L1990041,v,1,take at intervals,
149127,L2434935,v,1,be sea-sick,
149128,L2675720,v,1,choose again,
149129,L2817720,v,1,accept as security or collateral,
149130,L3079426,v,1,command beforehand,
149132,L3191188,v,1,have many or too many items of business to attend to,
149133,L3224590,v,1,be covered with hair,
149136,L3586460,v,1,"be bloody, run with blood",
149137,L3658210,v,1,announce in advance,
149138,L3658213,v,1,announce in advance,
149141,L4670031,v,1,make an excuse in saying any thing that may be distasteful,
149142,L4863592,v,1,"be moist, be damp, be wet",
149143,L4903786,v,1,"be sick, ill",
149144,L4975812,v,1,procure beforehand,
149145,L5000799,v,1,"be blood-thirsty, sanguinary",
149146,L5111928,v,1,"be an exile, be banished, live in exile",
149147,L5474800,v,1,"it is fitting, becoming, seemly, meet",
149148,L5655422,v,1,"work by lamp-light, work at night",
149149,L5668495,v,1,furnish with spikes,
149150,L5798172,v,1,to interrupt by a sound,
149151,L5867309,v,1,not know,
149153,L6343554,v,1,"wipe the nose, blow the nose",
149155,L6543929,v,1,"it is pleasing, agreeable",
149156,L6758861,v,1,to furnish with feet,
149158,L7204724,v,1,notify again,
149159,L7359192,v,1,exhaust completely through sexual intercourse,
149160,L7433238,v,1,feel sick,
149161,L7843170,v,1,become fatigued,
149167,L9494847,v,1,give a command again,
149172,L9989569,v,1,"be under, be behind",
149174,W0003038,v,10,,
149175,W0003054,v,10,,
149176,W0003055,v,10,,
149177,W0003056,v,10,,
149178,W0003182,v,10,,
149179,W0021078,v,10,,
149180,W0021090,v,10,,
149139,L4022210,v,1,"make an acceptable sacrifice, obtain favorable omens",1565
149154,L6344156,v,1,"choose a substitute by lot, substitute by lot",1802
149173,W0003037,v,10,,1753
149157,L6796831,v,1,repeat three times,1467
149116,L9710101,r,1,for the third time,1467
149115,L9512563,r,1,five times,1467
149170,L9844714,v,1,offer a solemn sacrifice in honor of dead kindred,1565
149112,L8852050,r,1,for the fourth time,1467
149163,L8724838,v,1,provide ears,2314
149140,L4544689,v,1,"consult oracle, astrologer",1565
149131,L3166926,v,1,adorn with a halo,1565
149171,L9846425,v,1,wander mentally,1502
149169,L9823758,v,1,"wash under, flow between",2138
149111,L8468699,r,1,"athletically, in the manner of an athlete",2638
149122,L1475908,v,1,set sail on a ship,1945
149110,L7058793,r,1,in the form of an arch,2446
149168,L9760504,v,1,"agree to a precondition, join in a stipulation with",1802
149152,L6196189,v,1,"to speak (something, such as a word) incorrectly",1966
149119,L1007741,v,1,live in imitation of the Greeks,1956
149113,L9040227,r,1,before daybreak,1463
149165,L8995133,v,1,possess a long tail (of comets),2076
149166,L9487570,v,1,cause to become wet with rain,2127
149162,L8373590,v,1,chew beforehand,2354
149134,L3295807,v,1,make the high-pitched cry characteristic of birds of prey,2208
149124,L1764297,v,1,be in a state of having mild warmth,2106
149120,L1392444,v,1,be in a state of having great heat or warmth,2106
149135,L3367013,v,1,cause to rot or putrefy,2113
149181,W0021094,v,10,,
149182,W0021095,v,10,,
79049,00149236,a,9,"skillful (or showing skill) in adapting means to ends; ""cool prudence and sensitive selfishness along with quick perception of what is possible--these distinguish an adroit politician""; ""came up with a clever story""; ""an ingenious press agent""; ""an ingenious scheme""",
80615,00411972,a,9,"comparatives of ""far""; most remote in space or time or order; ""had traveled to the farthest frontier""; ""don't go beyond the farthermost (or furthermost) tree""; ""explored the furthest reaches of space""; ""the utmost tip of the peninsula""",
81891,00632391,a,9,"expletives used informally as intensifiers: ""he's a blasted idiot""; ""it's a blamed shame""; ""a blame cold winter""; ""not a blessed dime""; ""I'll be damned (or blessed or darned or goddamned) if I'll do any such thing""; ""he's a damn (or goddam or goddamned) fool""; ""a deuced idiot""; ""tired or his everlasting whimpering""; ""an infernal nuisance""",
85061,01172484,a,9,"marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another: ""she was a deceitful scheming little thing""-Israel Zangwill; ""a double-dealing double agent""; ""a double-faced infernal traitor and schemer""-W.M.Thackeray",
85294,01213770,a,9,"arousing or provoking laughter: ""an amusing film with a steady stream of pranks and pratfalls""; ""an amusing fellow""; ""a comic hat""; ""a comical look of surprise""; ""funny stories that made everybody laugh""; ""a very funny writer""; ""it would have been laughable if it hadn't hurt so much""; ""a mirthful experience""; ""risible courtroom antics""",
91324,02216747,a,9,"stubbornly unyielding: ""dogged persistence""; ""dour determination""; ""the most vocal and pertinacious of all the critics""; ""a mind not gifted to discover truth but tenacious to hold it""-T.S.Eliot; ""men tenacious of opinion""",
91502,02245872,a,9,"capable of being surmounted or overcome: ""situations of measurable and surmountable danger""",
91504,02246167,a,9,"not capable of being surmounted or overcome: ""insurmountable disadvantages""",
91505,02246374,a,9,"incapable of being surmounted or excelled: ""insuperable odds""; ""insuperable heroes""",
91511,02247886,a,9,"excited by sudden surprise or alarm and making a quick involuntary movement: ""students startled by the teacher's quiet return""; ""the sudden fluttering of the startled pigeons""; ""her startled expression""",
91512,02248143,a,9,"not surprised or expressing surprise: ""that unsuprised obstinate look on his face""",
91513,02248299,a,9,"causing surprise or wonder or amazement: ""the report shows a surprising lack of hard factual data""; ""leaped up with surprising agility""; ""she earned a surprising amount of money""",
91514,02248624,a,9,"surprising greatly: ""she does an amazine amount of work""; ""the dog was capable of astonishing tricks""",
91515,02248793,a,9,"so remarkably different or sudden as to cause momentary shock or alarm: ""Sydney's startling new Opera House""; ""startling news""; ""startling earthquake shocks""",
91516,02249006,a,9,"causing great astonishment and consternation: ""the strike came as a stunning protest against management""; ""a stunning defeat""",
91517,02249186,a,9,"causing surprise or amazement by not being expected: ""the curtains opened to reveal a completely unexpected scene""",
91521,02249645,a,9,"(often followed by ""of"" or ""to"") yielding readily to or capable of; ""susceptible to colds""; ""susceptible of proof""",
91522,02250087,a,9,"having an allergy or peculiar or excessive susceptibility (especially to a specific factor); ""allergic children""; ""hypersensitive to pollen""",
91523,02250365,a,9,"(""capable"" is usually followed by ""of"" or ""to"") possibly accepting or permitting; ""a passage capable of misinterpretation""; ""open to interpretation""; ""an issue open to question""; ""the time is fixed by the director and players and therefore subject to much variation""",
91525,02250842,a,9,"susceptible to being led or directed: ""fictile masses of people ripe for propaganda""",
91526,02250990,a,9,"(often followed by ""to"") likely to be affected with; ""liable to diabetes""",
91527,02251160,a,9,"made susceptible: ""because of conditions in the mine, miners are predisposed to lung disease""",
91529,02251438,a,9,"susceptible or responsive to suggestion: ""suggestible young minds""",
91532,02251716,a,9,"susceptible to criticism or persuasion or temptation: ""vulnerable to bribery""; ""an argument vulnerable to refutation""",
91536,02252333,a,9,"not being susceptible to or admitting of something (usually followed by ""of)""; ""incapable of solution""",
91538,02252596,a,9,"easily impressed or influenced: ""an impressionable youngster""; ""an impressionable age""",
91539,02252779,a,9,"capable of being influenced or formed: ""the plastic minds of children""; ""a pliant nature""",
91541,02253017,a,9,"not sensitive or susceptible to impression: ""an unimpressionable mind""",
91542,02253150,a,9,"responsible to a higher authority: ""amenable to a small-scale form of enquiry""; ""amenable data""; ""is it to be contended that the heads of departments are not amenable to the laws?""-John Marshall",
87166,01524894,a,9,"more than is needed, desired, or required: ""trying to lose excess weight""; ""found some extra change lying on the dresser""; ""yet another book on heraldry might be thought redundant""; ""skills made redundant by technological advance""; ""sleeping in the spare room""; ""supernumerary ornamentation""; ""it was supererogatory of her to gloat""; ""delete superfluous (or unnecessary) words""; ""extra ribs as well as other supernumerary internal parts""; ""surplus cheese distributed to the needy""",1753
91543,02253454,a,9,"liable to be called to account: ""you are answerable for this debt""",
91544,02253591,a,9,"susceptible to suggestion: ""a personality responsive to your desires""",
91545,02253729,a,9,"capable of being or liable to be subjected to judgment or test: ""elasticity of fluids is not subject to simple measurement at present""",
91546,02253934,a,9,"not amenable: ""unamenable to persuasion""",
91548,02254137,a,9,"(of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject; ""a beauty somehow exempt from the aging process""; ""exempt from jury duty""; ""only the very poorest citizens should be exempt from income taxes""",
91549,02254516,a,9,"granted exemption: ""one of the excused jurors planned to write a book""",
91554,02255196,a,9,"not exempt from paying taxes: ""after training they became productivek taxpaying citizens""",
