11,νοσηρός,a,aps---mn1-,νοσηρός νοσηρά νοσηρόν,νοσηρός,0
69472,ο00500,ὀλιγαιμία,n,n-s---fn1l,ὀλιγαιμίας,ὀλιγαιμία,0
69519,ο00548,ὀλιγοδεής,a,aps---cn5s,ὀλιγοδεής ὀλιγοδεής ὀλιγοδεές,ὀλιγοδεής,0
69520,ο00549,ὀλιγόδεια,n,n-s---fn1s,ὀλιγόδειας,ὀλιγόδεια,0
69523,ο00552,ὀλιγόδουλος,a,aps---cn2-,ὀλιγόδουλος ὀλιγόδουλος ὀλιγόδουλον,ὀλιγόδουλος,0
69524,ο00553,ὀλιγοδρανέω,v,----------,,ὀλιγοδρανέω,0
69525,ο00554,ὀλιγοδρανής,a,aps---cn5s,ὀλιγοδρανής ὀλιγοδρανής ὀλιγοδρανές,ὀλιγοδρανής,0
69526,ο00555,ὀλιγοδρανία,n,n-s---fn1l,ὀλιγοδρανίας,ὀλιγοδρανία,0
69527,ο00556,ὀλιγοδρομέω,v,----------,,ὀλιγοδρομέω,0
69528,ο00557,ὀλιγοδυναμέω,v,----------,,ὀλιγοδυναμέω,0
69529,ο00558,ὀλιγοδύναμος,a,aps---cn2-,ὀλιγοδύναμος ὀλιγοδύναμος ὀλιγοδύναμον,ὀλιγοδύναμος,0
69530,ο00559,ὀλιγοέλαιος,a,aps---cn2-,ὀλιγοέλαιος ὀλιγοέλαιος ὀλιγοέλαιον,ὀλιγοέλαιος,0
69531,ο00560,ὀλιγοεξία,n,----------,,ὀλιγοεξία,0
69533,ο00562,ὀλιγοέτης,a,aps---cn3s,ὀλιγοέτης ὀλιγοέτης ὀλιγοέτες,ὀλιγοέτης,0
69534,ο00563,ὀλιγοετία,n,n-s---fn1l,ὀλιγοετίας,ὀλιγοετία,0
69535,ο00564,ὀλίγοζος,a,aps---cn2-,ὀλίγοζος ὀλίγοζος ὀλίγοζον,ὀλίγοζος,0
69536,ο00565,ὀλιγοθερμία,n,n-s---fn1l,ὀλιγοθερμίας,ὀλιγοθερμία,0
69538,ο00567,ὀλιγοθυμέω,v,----------,,ὀλιγοθυμέω,0
69540,ο00569,ὀλιγόκαιρος,a,aps---cn2-,ὀλιγόκαιρος ὀλιγόκαιρος ὀλιγόκαιρον,ὀλιγόκαιρος,0
69541,ο00570,ὀλιγοκάλαμος,a,aps---cn2-,ὀλιγοκάλαμος ὀλιγοκάλαμος ὀλιγοκάλαμον,ὀλιγοκάλαμος,0
69542,ο00571,ὀλιγοκαρπέω,v,----------,,ὀλιγοκαρπέω,0
69543,ο00572,ὀλιγόκαρπος,a,aps---cn2-,ὀλιγόκαρπος ὀλιγόκαρπος ὀλιγόκαρπον,ὀλιγόκαρπος,0
69545,ο00574,ὀλιγοκέρως,n,n-s---cn3d,ὀλιγοκέρωτος,ὀλιγοκέρως,0
69546,ο00575,ὀλιγοκίνητος,a,aps---cn2-,ὀλιγοκίνητος ὀλιγοκίνητος ὀλιγοκίνητον,ὀλιγοκίνητος,0
69547,ο00576,ὀλιγόκλαδος,a,aps---cn2-,ὀλιγόκλαδος ὀλιγόκλαδος ὀλιγόκλαδον,ὀλιγόκλαδος,0
69549,ο00578,ὀλιγολαλέω,v,----------,,ὀλιγολαλέω,0
69550,ο00579,ὀλιγομαθής,a,aps---cn5s,ὀλιγομαθής ὀλιγομαθής ὀλιγομαθές,ὀλιγομαθής,0
69551,ο00580,ὀλιγομέρεια,n,n-s---fn1s,ὀλιγομέρειας,ὀλιγομέρεια,0
69552,ο00581,ὀλιγομετρία,n,n-s---fn1l,ὀλιγομετρίας,ὀλιγομετρία,0
69554,ο00583,ὀλιγομυθία,n,n-s---fn1l,ὀλιγομυθίας,ὀλιγομυθία,0
69555,ο00584,ὀλιγόνειρος,a,aps---cn2-,ὀλιγόνειρος ὀλιγόνειρος ὀλιγόνειρον,ὀλιγόνειρος,0
69556,ο00585,ὀλιγόξυλος,a,aps---cn2-,ὀλιγόξυλος ὀλιγόξυλος ὀλιγόξυλον,ὀλιγόξυλος,0
69557,ο00586,ὀλιγοπαιδία,n,n-s---fn1l,ὀλιγοπαιδίας,ὀλιγοπαιδία,0
69558,ο00587,ὀλιγόπαις,n,----------,,ὀλιγόπαις,0
69559,ο00588,ὀλιγόπιστος,a,aps---cn2-,ὀλιγόπιστος ὀλιγόπιστος ὀλιγόπιστον,ὀλιγόπιστος,0
69518,ο00547,ὀλιγοδάπανος,a,aps---cn2-,ὀλιγοδάπανος ὀλιγοδάπανος ὀλιγοδάπανον,ὀλιγοδάπανος,0
69565,ο00594,ὀλιγοποσία,n,n-s---fn1l,ὀλιγοποσίας,ὀλιγοποσία,0
69566,ο00595,ὀλιγοποτέω,v,----------,,ὀλιγοποτέω,0
69567,ο00596,ὀλιγοπότης,n,n-s---mn1e,ὀλιγοπότου,ὀλιγοπότης,0
69569,ο00598,ὀλιγοπραγμοσύνη,n,n-s---fn1e,ὀλιγοπραγμοσύνης,ὀλιγοπραγμοσύνη,0
69571,ο00600,ὀλιγόπτερος,a,aps---cn2-,ὀλιγόπτερος ὀλιγόπτερος ὀλιγόπτερον,ὀλιγόπτερος,0
69572,ο00601,ὀλιγοπύθμην,n,----------,,ὀλιγοπύθμην,0
69573,ο00602,ὀλιγόπυρος,a,aps---cn2-,ὀλιγόπυρος ὀλιγόπυρος ὀλιγόπυρον,ὀλιγόπυρος,0
69575,ο00604,ὀλίγος,a,aps---mn1-,ὀλίγος ὀλίγη ὀλίγον,ὀλίγος,0
69576,ο00605,ὀλιγοσαρκος,a,aps---cn2-,ὀλιγοσαρκος ὀλιγοσαρκος ὀλιγοσαρκον,ὀλιγοσαρκος,0
69577,ο00606,ὀλιγοσθενέω,v,----------,,ὀλιγοσθενέω,0
69578,ο00607,ὀλιγοσθενής,a,aps---cn5s,ὀλιγοσθενής ὀλιγοσθενής ὀλιγοσθενές,ὀλιγοσθενής,0
69579,ο00608,ὀλιγοσιτέω,v,----------,,ὀλιγοσιτέω,0
69580,ο00609,ὀλιγοσιτία,n,n-s---fn1l,ὀλιγοσιτίας,ὀλιγοσιτία,0
69582,ο00611,ὀλιγόσπερμος,a,aps---cn2-,ὀλιγόσπερμος ὀλιγόσπερμος ὀλιγόσπερμον,ὀλιγόσπερμος,0
69583,ο00612,ὀλιγόσπορος,a,aps---cn2-,ὀλιγόσπορος ὀλιγόσπορος ὀλιγόσπορον,ὀλιγόσπορος,0
69584,ο00613,ὀλιγοστάδιος,a,aps---mn1-,ὀλιγοστάδιος ὀλιγοστάδια ὀλιγοστάδιον,ὀλιγοστάδιος,0
69585,ο00614,ὀλιγοστιχία,n,n-s---fn1l,ὀλιγοστιχίας,ὀλιγοστιχία,0
69586,ο00615,ὀλιγόστιχος,a,aps---cn2-,ὀλιγόστιχος ὀλιγόστιχος ὀλιγόστιχον,ὀλιγόστιχος,0
69587,ο00616,ὀλιγοστός,a,aps---mn1-,ὀλιγοστός ὀλιγοστή ὀλιγοστόν,ὀλιγοστός,0
69588,ο00617,ὀλιγοσυλλαβία,n,n-s---fn1l,ὀλιγοσυλλαβίας,ὀλιγοσυλλαβία,0
69591,ο00620,ὀλιγοσώματος,a,aps---cn2-,ὀλιγοσώματος ὀλιγοσώματος ὀλιγοσώματον,ὀλιγοσώματος,0
69592,ο00621,ὀλιγοτεκνία,n,n-s---fn1l,ὀλιγοτεκνίας,ὀλιγοτεκνία,0
69593,ο00622,ὀλιγότεκνος,a,aps---cn2-,ὀλιγότεκνος ὀλιγότεκνος ὀλιγότεκνον,ὀλιγότεκνος,0
69594,ο00623,ὀλιγότης,n,n-s---fn3t,ὀλιγότητος,ὀλιγότης,0
69595,ο00624,ὀλιγοτιμάω,v,----------,,ὀλιγοτιμάω,0
69596,ο00625,ὀλιγοτοκέω,v,----------,,ὀλιγοτοκέω,0
69597,ο00626,ὀλιγοτοκία,n,n-s---fn1l,ὀλιγοτοκίας,ὀλιγοτοκία,0
69598,ο00627,ὀλιγότοκος,a,aps---cn2-,ὀλιγότοκος ὀλιγότοκος ὀλιγότοκον,ὀλιγότοκος,0
69599,ο00628,ὀλιγότριχος,a,aps---cn2-,ὀλιγότριχος ὀλιγότριχος ὀλιγότριχον,ὀλιγότριχος,0
69600,ο00629,ὀλιγοτροφία,n,n-s---fn1l,ὀλιγοτροφίας,ὀλιγοτροφία,0
69602,ο00631,ὀλιγόϋδρος,a,aps---cn2-,ὀλιγόϋδρος ὀλιγόϋδρος ὀλιγόϋδρον,ὀλιγόϋδρος,0
69603,ο00632,ὀλιγόυλος,a,aps---cn2-,ὀλιγόυλος ὀλιγόυλος ὀλιγόυλον,ὀλιγόυλος,0
69604,ο00633,ὀλιγοϋπνέω,v,----------,,ὀλιγοϋπνέω,0
69907,ο00919,ὁμαρτῇ,r,----------,,ὁμαρτῇ,0
69563,ο00592,ὀλιγοπονία,n,n-s---fn1l,ὀλιγοπονίας,ὀλιγοπονία,0
69607,ο00636,ὀλιγοφαγία,n,n-s---fn1l,ὀλιγοφαγίας,ὀλιγοφαγία,0
69609,ο00638,ὀλιγοφαής,a,aps---cn5s,ὀλιγοφαής ὀλιγοφαής ὀλιγοφαές,ὀλιγοφαής,0
69610,ο00639,ὀλιγοφιλία,n,n-s---fn1l,ὀλιγοφιλίας,ὀλιγοφιλία,0
69611,ο00640,ὀλιγοφόρος,a,aps---cn2-,ὀλιγοφόρος ὀλιγοφόρος ὀλιγοφόρον,ὀλιγοφόρος,0
69613,ο00642,ὀλιγόφρων,n,----------,,ὀλιγόφρων,0
69614,ο00643,ὀλιγόφυλλος,a,aps---cn2-,ὀλιγόφυλλος ὀλιγόφυλλος ὀλιγόφυλλον,ὀλιγόφυλλος,0
69615,ο00644,ὀλιγόφωνος,a,aps---cn2-,ὀλιγόφωνος ὀλιγόφωνος ὀλιγόφωνον,ὀλιγόφωνος,0
69616,ο00645,ὀλιγόχλωρον,n,n-s---nn2-,ὀλιγοχλώρου,ὀλιγόχλωρον,0
69619,ο00648,ὀλιγόχορδος,a,aps---cn2-,ὀλιγόχορδος ὀλιγόχορδος ὀλιγόχορδον,ὀλιγόχορδος,0
69621,ο00650,ὀλιγοχρονέω,v,----------,,ὀλιγοχρονέω,0
69623,ο00652,ὀλιγοχρονιότης,n,n-s---fn3t,ὀλιγοχρονιότητος,ὀλιγοχρονιότης,0
69624,ο00653,ὀλιγόχρονος,a,aps---cn2-,ὀλιγόχρονος ὀλιγόχρονος ὀλιγόχρονον,ὀλιγόχρονος,0
69625,ο00654,ὀλιγόχρυσος,a,aps---cn2-,ὀλιγόχρυσος ὀλιγόχρυσος ὀλιγόχρυσον,ὀλιγόχρυσος,0
69626,ο00655,ὀλιγόχυλος,a,aps---cn2-,ὀλιγόχυλος ὀλιγόχυλος ὀλιγόχυλον,ὀλιγόχυλος,0
69627,ο00656,ὀλιγόχυμος,a,aps---cn2-,ὀλιγόχυμος ὀλιγόχυμος ὀλιγόχυμον,ὀλιγόχυμος,0
69628,ο00657,ὀλιγοχώρητος,a,aps---cn2-,ὀλιγοχώρητος ὀλιγοχώρητος ὀλιγοχώρητον,ὀλιγοχώρητος,0
69629,ο00658,ὀλιγοψυχέω,v,----------,,ὀλιγοψυχέω,0
69630,ο00659,ὀλιγοψυχία,n,n-s---fn1l,ὀλιγοψυχίας,ὀλιγοψυχία,0
69631,ο00660,ὀλιγόψυχος,a,aps---cn2-,ὀλιγόψυχος ὀλιγόψυχος ὀλιγόψυχον,ὀλιγόψυχος,0
69632,ο00661,ὀλιγόω,v,----------,,ὀλιγόω,0
69633,ο00662,ὀλιγόωρος,a,aps---cn2-,ὀλιγόωρος ὀλιγόωρος ὀλιγόωρον,ὀλιγόωρος,0
69634,ο00537,ὀλιγῶλαξ,n,----------,,ὀλιγῶλαξ,0
69635,ο00663,ὀλιγωρέω,v,----------,,ὀλιγωρέω,0
69636,ο00664,ὀλιγώρημα,n,n-s---nn3t,ὀλιγωρήματος,ὀλιγώρημα,0
69637,ο00665,ὀλιγώρησις,n,n-s---fn3v,ὀλιγωρησέως,ὀλιγώρησις,0
69638,ο00666,ὀλιγωρητέον,a,----------,,ὀλιγωρητέον,0
69640,ο00668,ὀλίγωρος,a,aps---cn2-,ὀλίγωρος ὀλίγωρος ὀλίγωρον,ὀλίγωρος,0
69642,ο00670,ὀλιζότερος,n,----------,,ὀλιζότερος,0
69643,ο00671,ὀλιζόω,v,----------,,ὀλιζόω,0
69644,ο00672,ὁλίζω,v,----------,,ὁλίζω,0
69645,ο00673,ὀλίζων,n,----------,,ὀλίζων,0
69646,ο00674,ὁλικός,a,aps---mn1-,ὁλικός ὁλική ὁλικόν,ὁλικός,0
69647,ο00675,ὁλικότης,n,n-s---fn3t,ὁλικότητος,ὁλικότης,0
69648,ο00676,ὄλινοι,n,n-p---mn2-,ὀλίνων,ὄλινοι,0
69649,ο00677,ὀλίος,n,----------,,ὀλίος,0
69650,ο00678,ὀλισβοκόλλιξ,n,n-s---mn3v,ὀλισβοκόλλικος,ὀλισβοκόλλιξ,0
69606,ο00635,ὀλιγόϋπνος,a,aps---cn2-,ὀλιγόϋπνος ὀλιγόϋπνος ὀλιγόϋπνον,ὀλιγόϋπνος,0
69654,ο00682,ὀλισθήεις,a,aps---mn4i,ὀλισθήεις ὀλισθήεσσα ὀλισθήεν,ὀλισθήεις,0
69655,ο00683,ὀλίσθημα,n,n-s---nn3t,ὀλισθήματος,ὀλίσθημα,0
69656,ο00684,ὀλισθηρός,a,aps---mn1-,ὀλισθηρός ὀλισθηρά ὀλισθηρόν,ὀλισθηρός,0
69657,ο00685,ὀλίσθησις,n,n-s---fn3v,ὀλισθησέως,ὀλίσθησις,0
69659,ο00687,ὀλισθογνωμονέω,v,----------,,ὀλισθογνωμονέω,0
69660,ο00688,ὀλισθοποιέω,v,----------,,ὀλισθοποιέω,0
69661,ο00689,ὄλισθος,n,n-s---mn2-,ὀλίσθου,ὄλισθος,0
69662,ο00690,ὀλισθός,n,----------,,ὀλισθός,0
69663,ο00691,ὀλισθράζω,v,----------,,ὀλισθράζω,0
69665,ο00693,ὁλκαδοχρίστης,n,n-s---mn1e,ὁλκαδοχρίστου,ὁλκαδοχρίστης,0
69666,ο00694,ὁλκάζω,v,----------,,ὁλκάζω,0
69667,ο00695,ὁλκαία,n,n-s---fn1l,ὁλκαίας,ὁλκαία,0
69668,ο00696,ὁλκαῖον,n,n-s---nn2-,ὁλκαίου,ὁλκαῖον,0
69670,ο00698,ὁλκάς,n,n-s---fn3d,ὁλκάδος,ὁλκάς,0
69671,ο00699,ὁλκεῖον,n,n-s---nn2-,ὁλκείου,ὁλκεῖον,0
69672,ο00700,ὁλκεύς,n,n-s---mn3v,ὁλκέως,ὁλκεύς,0
69673,ο00701,ὁλκή,n,n-s---fn1e,ὁλκῆς,ὁλκή,0
69674,ο00702,ὁλκήεις,a,aps---mn4i,ὁλκήεις ὁλκήεσσα ὁλκήεν,ὁλκήεις,0
69675,ο00703,ὁλκήϊον,n,n-s---nn2-,ὁλκηΐου,ὁλκήϊον,0
69677,ο00705,ὅλκιμος,a,aps---cn2-,ὅλκιμος ὅλκιμος ὅλκιμον,ὅλκιμος,0
69678,ο00706,ὁλκίον,n,----------,,ὁλκίον,0
69679,ο00708,ὁλκός,a,aps---mn1-,ὁλκός ὁλκή ὁλκόν,ὁλκός,0
69680,ο00707,ὁλκός,n,----------,,ὁλκός,0
69681,ο00709,ὄλλιξ,n,n-s---fn3v,ὄλλικος,ὄλλιξ,0
69682,ο00710,ὄλλυμι,v,----------,,ὄλλυμι,0
69683,ο00711,ὁλμειός,n,----------,,ὁλμειός,0
69686,ο00714,ὁλμίσκος,n,n-s---mn2-,ὁλμίσκου,ὁλμίσκος,0
69687,ο00715,ὁλμοειδῶς,r,----------,,ὁλμοειδῶς,0
69688,ο00716,ὁλμοκοπέω,v,----------,,ὁλμοκοπέω,0
69689,ο00717,ὁλμοκόπος,n,n-s---mn2-,ὁλμοκόπου,ὁλμοκόπος,0
69690,ο00718,ὁλμοποιός,n,----------,,ὁλμοποιός,0
69691,ο00719,ὅλμος,n,n-s---mn2-,ὅλμου,ὅλμος,0
69692,ο00720,ὀλοαί,r,----------,,ὀλοαί,0
69694,ο00722,ὁλόβηρον,n,n-s---nn2-,ὁλοβήρου,ὁλόβηρον,0
69695,ο00723,ὁλόβραχυς,a,aps---cn5u,ὁλόβραχυς ὁλόβραχυς ὁλόβραχυ,ὁλόβραχυς,0
69696,ο00724,ὁλογράμματος,a,aps---cn2-,ὁλογράμματος ὁλογράμματος ὁλογράμματον,ὁλογράμματος,0
69697,ο00725,ὁλογραφέω,v,----------,,ὁλογραφέω,0
69698,ο00726,ὁλογραφία,n,n-s---fn1l,ὁλογραφίας,ὁλογραφία,0
69700,ο00728,ὁλόγυρος,a,aps---cn2-,ὁλόγυρος ὁλόγυρος ὁλόγυρον,ὁλόγυρος,0
69702,ο00730,ὀλόεις,a,aps---mn4i,ὀλόεις ὀλόεσσα ὀλόεν,ὀλόεις,0
69849,,Ὀλυμπιεῖον,n,n-s---nn2-,Ὀλυμπιείου,Ὀλυμπιεῖον,0
69653,ο00681,ὀλισθάνω,v,v1spia--1-,,ὀλισθάνω,0
69705,ο00733,ὁλοήμερος,a,aps---cn2-,ὁλοήμερος ὁλοήμερος ὁλοήμερον,ὁλοήμερος,0
69706,ο00734,ὁλοθούριον,n,n-s---nn2-,ὁλοθουρίου,ὁλοθούριον,0
69707,ο00736,ὀλοθρεύω,v,----------,,ὀλοθρεύω,0
69709,ο00737,ὀλοιός,a,aps---cn2-,ὀλοιός ὀλοιός ὀλοιόν,ὀλοιός,0
69711,ο00739,ὁλοκάθαρος,a,aps---cn2-,ὁλοκάθαρος ὁλοκάθαρος ὁλοκάθαρον,ὁλοκάθαρος,0
69712,ο00740,ὁλοκάλαμος,n,n-s---mn2-,ὁλοκαλάμου,ὁλοκάλαμος,0
69713,ο00741,ὁλόκαλος,a,aps---cn2-,ὁλόκαλος ὁλόκαλος ὁλόκαλον,ὁλόκαλος,0
69714,ο00742,ὁλοκαρπόομαι,v,----------,,ὁλοκαρπόομαι,0
69716,ο00744,ὁλοκάρπωμα,n,n-s---nn3t,ὁλοκαρπώματος,ὁλοκάρπωμα,0
69717,ο00745,ὁλοκάρπωσις,n,n-s---fn3v,ὁλοκαρπωσέως,ὁλοκάρπωσις,0
69718,ο00746,ὁλοκαυστέω,v,----------,,ὁλοκαυστέω,0
69720,ο00748,ὁλόκαυστος,a,aps---cn2-,ὁλόκαυστος ὁλόκαυστος ὁλόκαυστον,ὁλόκαυστος,0
69721,ο00749,ὁλοκαυτέω,v,----------,,ὁλοκαυτέω,0
69722,ο00750,ὁλοκαυτίζω,v,----------,,ὁλοκαυτίζω,0
69723,ο00751,ὁλόκαυτος,a,aps---cn2-,ὁλόκαυτος ὁλόκαυτος ὁλόκαυτον,ὁλόκαυτος,0
69724,ο00752,ὁλοκαύτωμα,n,n-s---nn3t,ὁλοκαυτώματος,ὁλοκαύτωμα,0
69725,ο00753,ὁλοκαύτωσις,n,n-s---fn3v,ὁλοκαυτώσεως,ὁλοκαύτωσις,0
69726,ο00754,ὁλοκληρέω,v,----------,,ὁλοκληρέω,0
69729,ο00757,ὁλοκλήρωσις,n,n-s---fn3v,ὁλοκληρωσέως,ὁλοκλήρωσις,0
69730,ο00758,ὁλόκνημος,a,aps---cn2-,ὁλόκνημος ὁλόκνημος ὁλόκνημον,ὁλόκνημος,0
69731,ο00759,ὁλόκοπος,a,aps---cn2-,ὁλόκοπος ὁλόκοπος ὁλόκοπον,ὁλόκοπος,0
69732,ο00760,ὁλόκυκλος,a,aps---cn2-,ὁλόκυκλος ὁλόκυκλος ὁλόκυκλον,ὁλόκυκλος,0
69733,ο00761,ὁλόκυρος,n,----------,,ὁλόκυρος,0
69734,ο00762,ὁλοκωνῖτις,n,n-s---fn3d,ὁλοκωνίτιδος,ὁλοκωνῖτις,0
69736,ο00764,ὁλόλευκος,a,aps---cn2-,ὁλόλευκος ὁλόλευκος ὁλόλευκον,ὁλόλευκος,0
69737,ο00765,ὁλόλιθος,a,aps---cn2-,ὁλόλιθος ὁλόλιθος ὁλόλιθον,ὁλόλιθος,0
69739,ο00767,ὄλολοι,n,n-p---mn2-,ὀλόλων,ὄλολοι,0
69741,ο00769,ὀλολυγή,n,n-s---fn1e,ὀλολυγῆς,ὀλολυγή,0
69742,ο00770,ὀλόλυγμα,n,n-s---nn3t,ὀλολύγματος,ὀλόλυγμα,0
69743,ο00771,ὀλολυγμός,n,----------,,ὀλολυγμός,0
69744,ο00772,ὀλολυγών,n,n-s---fn3n,ὀλολυγόνος,ὀλολυγών,0
69745,ο00773,ὀλολύζω,v,----------,,ὀλολύζω,0
69746,ο00774,ὀλολυκτόλης,n,n-s---mn1e,ὀλολυκτόλου,ὀλολυκτόλης,0
69747,ο00775,ὀλολύκτρια,n,n-s---fn1s,ὀλολύκτριας,ὀλολύκτρια,0
69748,ο00776,ὄλολυς,n,----------,,ὄλολυς,0
69749,ο00777,ὀλολύττω,v,----------,,ὀλολύττω,0
69751,ο00779,ὁλόμαζος,a,aps---cn2-,ὁλόμαζος ὁλόμαζος ὁλόμαζον,ὁλόμαζος,0
69704,ο00732,ὀλοεργός,a,aps---cn2-,ὀλοεργός ὀλοεργός ὀλοεργόν,ὀλοεργός,0
69754,ο00782,ὁλομελέω,v,----------,,ὁλομελέω,0
