40,προγεωργός,n,----------,,,,,,0
96012,σ06761,συνεξωραί̈ζω,v,----------,,,,,,0
96018,σ06767,συνεπαγωνίζομαι,v,----------,,,,,,0
96024,σ06773,συνεπαίσθησις,n,n-s---fn3v,συνεπαισθησέως,,,,,0
96039,σ06788,συνεπαφίημι,v,----------,,,,,,0
96045,σ06795,συνεπεισκυκλέω,v,----------,,,,,,0
96051,σ06801,συνεπελαφρίζω,v,----------,,,,,,0
96061,σ06811,συνεπευφημέω,v,----------,,,,,,0
96067,σ06817,συνεπιβλάπτομαι,v,----------,,,,,,0
96075,σ06825,συνεπιγραφεύς,n,n-s---mn3v,συνεπιγραφέως,,,,,0
96083,σ06833,συνεπιζεύγνυμαι,v,----------,,,,,,0
96094,σ06844,συνεπίθρυψις,n,n-s---fn3v,συνεπιθρυψέως,,,,,0
96102,σ06852,συνεπικιρνάω,v,----------,,,,,,0
96108,σ06858,συνεπικραδαίνω,v,----------,,,,,,0
96115,σ06865,συνεπιλαμβάνω,v,----------,,,,,,0
96122,σ06872,συνεπιλογιστέον,n,----------,,,,,,0
96128,σ06878,συνεπιμελέομαι,v,----------,,,,,,0
96135,σ06885,συνεπινοητέον,n,----------,,,,,,0
96147,σ06897,συνεπισκεπτέον,n,----------,,,,,,0
96155,σ06905,συνεπίστασις,n,n-s---fn3v,συνεπιστασέως,,,,,0
96162,σ06912,συνεπιστρέφω,v,----------,,,,,,0
96169,σ06919,συνεπιταχύνω,v,----------,,,,,,0
96177,σ06927,συνεπιτρέχω,v,----------,,,,,,0
96183,σ06933,συνεπιφαίνω,v,----------,,,,,,0
96188,σ06938,συνεπιφορτίζω,v,----------,,,,,,0
96196,σ06946,συνεποικοδομέω,v,----------,,,,,,0
96205,σ06956,συνεπτυγμένως,r,----------,,,,,,0
96211,σ06961,συνερανιστός,a,aps---cn2-,συνερανιστός συνερανιστός συνερανιστόν,,,,,0
96221,σ06971,συνεργεπιστατέω,v,----------,,,,,,0
96231,σ06981,σύνεργον,n,n-s---nn2-,συνέργου,,,,,0
96238,σ06988,συνέρεισις,n,n-s---fn3v,συνερεισέως,,,,,0
96249,σ06999,συνέρραισα,n,----------,,,,,,0
96261,σ07011,συνεσπειραμένως,r,----------,,,,,,0
96270,σ07020,συνεστιάω,v,----------,,,,,,0
96276,σ07026,συνέταιρος,n,n-s---mn2-,συνεταίρου,,,,,0
96284,σ07034,συνευδαιμονέω,v,----------,,,,,,0
96292,σ07042,συνευκαιρέω,v,----------,,,,,,0
96298,σ07048,συνεύνιος,a,aps---cn2-,συνεύνιος συνεύνιος συνεύνιον,,,,,0
96308,σ07058,συνευσεβέω,v,----------,,,,,,0
96317,σ07067,συνεύχομαι,v,----------,,,,,,0
96323,σ07073,συνεφεδρεύω,v,----------,,,,,,0
96331,σ07081,συνεφίστημι,v,----------,,,,,,0
96337,σ07087,συνέχεια,n,n-s---fn1s,συνέχειας,,,,,0
96346,σ07096,συνέψημα,n,n-s---nn3t,συνεψήματος,,,,,0
96355,σ07105,συνηγμένως,r,----------,,,,,,0
96364,σ07113,συνηδύνω,v,----------,,,,,,0
96370,σ07119,συνήκοος,a,aps---cn2-,συνήκοος συνήκοος συνήκοον,,,,,0
96382,σ07130,συνημερόομαι,v,----------,,,,,,0
96389,σ07137,συνήορος,a,aps---cn2-,συνήορος συνήορος συνήορον,,,/sy.nɛ̌ː.o.ros/,,0
96400,σ07148,συνηρμοσμένως,r,----------,,,,,,0
96407,σ07155,συνήχησις,n,n-s---fn3v,συνηχησέως,,,,,0
96418,σ07166,συνθεατής,n,n-s---mn1e,συνθεατού,,,,,0
96430,σ07178,συνθετικός,a,aps---mn1-,συνθετικός συνθετική συνθετικόν,,,/syn.tʰe.ti.kós/,,0
96441,σ07189,συνθηκογράφος,n,n-s---mn2-,συνθηκογράφου,,,,,0
96447,σ07195,συνθηματικός,a,aps---mn1-,συνθηματικός συνθηματική συνθηματικόν,,,,,0
96461,σ07209,συνθλάσσω,v,----------,,,,,,0
96470,σ07218,συνθόλωσις,n,n-s---fn3v,συνθολωσέως,,,,,0
96475,σ07223,συνθρηνήτρια,n,n-s---fn1s,συνθρηνήτριας,,,,,0
96490,σ07238,συνθυσία,n,n-s---fn1l,συνθυσίας,,,,,0
96499,σ07247,συνιδιάζω,v,----------,,,,,,0
96505,σ07253,συνιερεύς,n,n-s---mn3v,συνιερέως,,,,,0
96513,σ07261,συνίζησις,n,n-s---fn3v,συνιζησέως,,,,,0
96523,σ07271,συνίππαρχος,n,n-s---mn2-,συνιππάρχου,,,,,0
96531,σ07279,συνισθμίζω,v,----------,,,,,,0
96547,σ07296,συνναύκληρος,n,n-s---mn2-,συνναυκλήρου,,,,,0
96555,σ07304,συννέμησις,n,n-s---fn3v,συννεμησέως,,,,,0
96564,σ07313,συννεφής,a,aps---cn5s,συννεφής συννεφής συννεφές,,,,,0
96575,σ07324,συννοητέος,a,aps---mn1-,συννοητέος συννοητέα συννοητέον,,,,,0
96588,σ07337,συννυμφοκόμος,a,aps---cn2-,συννυμφοκόμος συννυμφοκόμος συννυμφοκόμον,,,,,0
96601,σ07350,συνοδοίπορος,n,n-s---mn2-,συνοδοιπόρου,,,,,0
96612,σ07361,συνοίδησις,n,n-s---fn3v,συνοιδησέως,,,,,0
96618,σ07367,συνοίκημα,n,n-s---nn3t,συνοικήματος,,,,,0
96627,σ07376,συνοικισία,n,n-s---fn1l,συνοικισίας,,,,,0
96634,σ07383,συνοικοδεσποτία,n,n-s---fn1l,συνοικοδεσποτίας,,,,,0
96642,σ07391,συνοίμιος,a,aps---cn2-,συνοίμιος συνοίμιος συνοίμιον,,,,,0
96661,σ07410,συνόμαιμος,a,aps---cn2-,συνόμαιμος συνόμαιμος συνόμαιμον,,,,,0
96668,σ07417,συνομέστιος,a,aps---cn2-,συνομέστιος συνομέστιος συνομέστιον,,,,,0
96681,σ07430,συνομοιοπαθέω,v,----------,,,,,,0
96687,σ07436,συνομόνοια,n,n-s---fn1s,συνομόνοιας,,,,,0
96692,σ07441,συνομόψηφος,a,aps---cn2-,συνομόψηφος συνομόψηφος συνομόψηφον,,,,,0
96705,σ07454,συνοπτικός,a,aps---mn1-,συνοπτικός συνοπτική συνοπτικόν,,,,,0
96716,σ07465,συνορθόω,v,----------,,,,,,0
96725,σ07474,συνορμάς,n,n-s---fn3d,συνορμάδος,,,,,0
96731,σ07480,σύνορος,a,aps---cn2-,σύνορος σύνορος σύνορον,,,,,0
96740,σ07489,συνούλωσις,n,n-s---fn3v,συνουλωσέως,,,,,0
96748,σ07497,συνουσιαστικός,a,aps---mn1-,συνουσιαστικός συνουσιαστική συνουσιαστικόν,,,,,0
96764,σ07513,συνοχμός,n,----------,,,,,,0
96770,σ07519,συνοψοφαγέω,v,----------,,,,,,0
96775,σ07525,συνταγματάρχης,n,n-s---mn1e,συνταγματάρχου,,,/syn.taŋ.ma.tár.kʰɛːs/,,0
96787,σ07537,συνταλαιπωρία,n,n-s---fn1l,συνταλαιπωρίας,,,,,0
96797,σ07547,συνταράσσω,v,----------,,,,,,0
96805,σ07555,συνταυροτάφος,n,n-s---mn2-,συνταυροτάφου,,,,,0
96816,σ07566,συντελέθω,v,----------,,,,,,0
96820,σ07570,συντελεσιουργία,n,n-s---fn1l,συντελεσιουργίας,,,,,0
96832,σ07582,συντέλομαι,v,----------,,,,,,0
96837,σ07587,συντέρμων,a,aps---cn3n,συντέρμων συντέρμων συντέρμον,,,,,0
96845,σ07595,σύντευξις,n,n-s---fn3v,συντευξέως,,,,,0
96854,σ07604,συντηκτός,a,aps---cn2-,συντηκτός συντηκτός συντηκτόν,,,,,0
96860,σ07610,συντηρητικός,a,aps---mn1-,συντηρητικός συντηρητική συντηρητικόν,,,,,0
96867,σ07617,συντινάσσω,v,----------,,,,,,0
96874,σ07624,συντομεύω,v,----------,,,,,,0
96882,σ07632,συντονολυδιστὶ,n,----------,,,,,,0
96890,σ07640,συντορμόω,v,----------,,,,,,0
96897,σ07647,συντρέπω,v,----------,,,,,,0
96904,σ07654,συντριβή,n,n-s---fn1e,συντριβῆς,,,,,0
96910,σ07660,συντρίκλινος,a,aps---cn2-,συντρίκλινος συντρίκλινος συντρίκλινον,,,,,0
96920,σ07669,σύντροφος,a,aps---cn2-,σύντροφος σύντροφος σύντροφον,,,,,0
96932,σ07681,συντύραννος,n,n-s---mn2-,συντυράννου,,,,,0
96940,σ07689,συνυγραίνομαι,v,----------,,,,,,0
96947,σ07696,συνυπακουστέον,n,----------,,,,,,0
96956,σ07705,συνυπερβάλλω,v,----------,,,,,,0
96962,σ07711,συνυποδίδωμι,v,----------,,,,,,0
96968,σ07717,συνυπολαμβάνω,v,----------,,,,,,0
96974,σ07723,συνυπόπτωσις,n,n-s---fn3v,συνυποπτωσέως,,,,,0
96978,σ07727,συνυποτάσσομαι,v,----------,,,,,,0
96986,σ07735,συνυφαντέον,n,----------,,,,,,0
96995,σ06245,συνῳδία,n,n-s---fn1l,συνῳδίας,,,,,0
97003,σ07748,συνωμία,n,n-s---fn1l,συνωμίας,,,,,0
97009,σ07754,συνωμότης,n,n-s---mn1e,συνωμότου,,,,,0
97016,σ07761,συνώνητος,a,aps---cn2-,συνώνητος συνώνητος συνώνητον,,,,,0
97029,σ07775,συνωχαδόν,r,----------,,,,,,0
97036,σ07782,συοδήλητος,a,aps---cn2-,συοδήλητος συοδήλητος συοδήλητον,,,,,0
97048,σ07795,συοφορβός,a,aps---cn2-,συοφορβός συοφορβός συοφορβόν,,,,,0
97063,,Συριάρχης,n,n-s---mn1e,Συριάρχου,,,,,0
97069,σ07809,συρίγγιον,n,n-s---nn2-,συριγγίου,,,,,0
97078,σ07818,συρίγγωσις,n,n-s---fn3v,συριγγωσέως,,,,,0
97100,σ07833,σύρμα,n,n-s---nn3t,σύρματος,,,,,0
97107,σ07840,συρματὶς,n,----------,,,,,,0
97119,,Σύρος,n,n-s---cn2-,Σύρου,,,,,0
97125,σ07864,συρρᾳδιουργέω,v,----------,,,,,,0
97133,σ07861,συρραφεύς,n,n-s---mn3v,συρραφέως,,,,,0
97142,σ07871,συρρήγνυμι,v,----------,,,,,,0
97155,σ07885,σύρσις,n,n-s---fn3v,σύρσεως,,,,,0
97163,σ07892,συρφετώδης,a,aps---cn3s,συρφετώδης συρφετώδης συρφετώ͂δες,,,,,0
97177,σ07905,συσκευάζω,v,----------,,,,,,0
97183,σ07911,συσκευώρημα,n,n-s---nn3t,συσκευωρήματος,,,,,0
97193,σ07920,συσκήνωσις,n,n-s---fn3v,συσκηνωσέως,,,,,0
97201,σ07928,συσκολύπτομαι,v,----------,,,,,,0
97211,σ07938,σύσπασις,n,n-s---fn3v,συσπασέως,,,,,0
97220,σ07947,συσπλαγχνεύω,v,----------,,,,,,0
97227,σ07954,συσσαραπιαστής,n,n-s---mn1e,συσσαραπιαστού,,,,,0
97236,σ07964,συσσημαντικός,a,aps---mn1-,συσσημαντικός συσσημαντική συσσημαντικόν,,,,,0
97249,σ07977,συσσιωπάω,v,----------,,,,,,0
97257,σ07984,συσσωφρονέω,v,----------,,,,,,0
97267,σ07994,συσταλτικός,a,aps---mn1-,συσταλτικός συσταλτική συσταλτικόν,,,,,0
97279,σ08006,συστατός,a,aps---mn1-,συστατός συστατή συστατόν,,,,,0
97288,σ08015,συστενάχομαι,v,----------,,,,,,0
97296,σ08022,συστέφομαι,v,----------,,,,,,0
97303,σ08029,συστοιχία,n,n-s---fn1l,συστοιχίας,,,,,0
97311,σ08037,συστοχάζομαι,v,----------,,,,,,0
97328,σ08054,συστροφόομαι,v,----------,,,,,,0
97336,σ08062,συσφαιρίζω,v,----------,,,,,,0
97342,σ08068,σύσφιγκτος,a,aps---cn2-,σύσφιγκτος σύσφιγκτος σύσφιγκτον,,,,,0
97356,σ08081,συφεός,n,----------,,,,,,0
97364,σ08089,σύχνασμα,n,n-s---nn3t,συχνάσματος,,,,,0
97386,σ08109,σφαδαστικῶς,r,----------,,,,,,0
97394,σ08118,σφαιρικός,a,aps---mn1-,σφαιρικός σφαιρική σφαιρικόν,,,,,0
97403,σ08126,σφαιρογραφία,n,n-s---fn1l,σφαιρογραφίας,,,,,0
97410,σ08133,σφαιροπαικτέω,v,----------,,,,,,0
97420,σ08143,σφαίρωσις,n,n-s---fn3v,σφαιρωσέως,,,,,0
97446,σ08169,σφάλτης,n,n-s---mn1e,σφάλτου,,,,,0
97455,σ08179,σφέκλον,n,n-s---nn2-,σφέκλου,,,,,0
97464,σ08188,σφενδόνη,n,n-s---fn1e,σφενδόνης,,,/spʰen.dó.nɛː/,,0
97468,σ08192,σφενδονητικός,a,aps---mn1-,σφενδονητικός σφενδονητική σφενδονητικόν,,,,,0
97492,σ08215,σφηκώδης,a,aps---cn3s,σφηκώδης σφηκώδης σφηκώ͂δες,,,,,0
97501,σ08223,σφηνοειδής,a,aps---cn5s,σφηνοειδής σφηνοειδής σφηνοειδές,,,,,0
97513,σ08233,σφιγγίδιον,n,n-s---nn2-,σφιγγιδίου,,,,,0
97527,σ08249,σφοδελός,n,----------,,,,,,0
97534,σ08256,σφονδύλιον,n,n-s---nn2-,σφονδυλίου,,,,,0
97545,σ08268,σφραγιδοφυλάκιον,n,n-s---nn2-,σφραγιδοφυλακίου,,,,,0
97556,σ08279,σφριγανός,a,aps---mn1-,σφριγανός σφριγανή σφριγανόν,,,,,0
97571,σ08295,σφυραθία,n,----------,,,,,,0
97576,σ08300,σφυρήλατος,a,aps---cn2-,σφυρήλατος σφυρήλατος σφυρήλατον,,,,,0
97587,σ08311,σφυρόκοπος,a,aps---cn2-,σφυρόκοπος σφυρόκοπος σφυρόκοπον,,,,,0
97595,σ08319,σφυρωτήρ,n,n-s---mn3r,σφυρωτῆρος,,,,,0
97608,σ08330,σχαλίς,n,n-s---fn3d,σχαλίδος,,,,,0
97617,σ08339,σχεδάριον,n,n-s---nn2-,σχεδαρίου,,,,,0
97627,σ08349,σχεδιαστικῶς,r,----------,,,,,,0
97636,σ08358,σχέδος,n,n-s---nn3v,σχέδεος,,,,,0
97646,,Σχερία,n,n-s---fn1l,Σχερίας,,,,,0
97660,σ08379,σχηματιαῖος,a,aps---mn1-,σχηματιαῖος σχηματιαῖα σχηματιαῖον,,,,,0
97668,σ08387,σχηματογραφία,n,n-s---fn1l,σχηματογραφίας,,,,,0
97677,σ08396,σχιδακώδης,a,aps---cn3s,σχιδακώδης σχιδακώδης σχιδακώ͂δες,,,,,0
97686,σ08405,σχιζόπτερος,a,aps---cn2-,σχιζόπτερος σχιζόπτερος σχιζόπτερον,,,,,0
97700,σ08418,σχισματώδης,a,aps---cn3s,σχισματώδης σχισματώδης σχισματώ͂δες,,,,,0
97714,σ08431,σχοινίκλος,n,n-s---mn2-,σχοινίκλου,,,,,0
97720,σ08437,σχοινιοσυμβολεύς,n,----------,,,,,,0
97730,σ08445,σχοινοδρόμος,n,n-s---mn2-,σχοινοδρόμου,,,,,0
97734,σ08450,σχοινοπλοκικός,a,aps---mn1-,σχοινοπλοκικός σχοινοπλοκική σχοινοπλοκικόν,,,,,0
97748,σ08463,σχοινοχάλινος,n,----------,,,,,,0
97759,σ08476,σχολαστικός,a,aps---mn1-,σχολαστικός σχολαστική σχολαστικόν,,,,,0
97775,σ08492,σωκάριον,n,n-s---nn2-,σωκαρίου,,,,,0
97784,,Σωκρατόγομφος,a,aps---cn2-,Σωκρατόγομφος Σωκρατόγομφος Σωκρατόγομφον,,,,,0
97796,σ08505,σωληνοειδής,a,aps---cn5s,σωληνοειδής σωληνοειδής σωληνοειδές,,,,,0
97823,σ08530,σωματοειδής,a,aps---cn5s,σωματοειδής σωματοειδής σωματοειδές,,,,,0
97832,σ08539,σωματοποιός,a,aps---cn2-,σωματοποιός σωματοποιός σωματοποιόν,,,,,0
97840,σ08547,σωματοφόρβος,a,aps---cn2-,σωματοφόρβος σωματοφόρβος σωματοφόρβον,,,,,0
97867,σ08571,σώρευσις,n,n-s---fn3v,σωρευσέως,,,,,0
97876,σ08579,σωριτικός,a,aps---mn1-,σωριτικός σωριτική σωριτικόν,,,,,0
97890,σ08590,σωστικός,a,aps---mn1-,σωστικός σωστική σωστικόν,,,,,0
97899,σ08598,σωτήριος,a,aps---cn2-,σωτήριος σωτήριος σωτήριον,,,,,0
97910,σ08608,σωφρονιστήριον,n,n-s---nn2-,σωφρονιστηρίου,,,/sɔː.pʰro.nis.tɛ̌ː.ri.on/,,0
97925,τ00011,ταβελλάριος,n,n-s---mn2-,ταβελλαρίου,,,,,0
97936,τ00022,ταβλοπάροχος,n,n-s---mn2-,ταβλοπαρόχου,,,,,0
97948,τ00034,τάγευμα,n,n-s---nn3t,ταγεύματος,,,,,0
97956,τ00042,ταγηνισταί,n,n-p---mn2-,ταγηνιστῶν,,,,,0
97964,τ00050,ταγματικός,a,aps---mn1-,ταγματικός ταγματική ταγματικόν,,,,,0
97982,τ00065,ταινιοειδής,a,aps---cn5s,ταινιοειδής ταινιοειδής ταινιοειδές,,,,,0
97999,τ00082,τακτόμισθος,n,n-s---mn2-,τακτομίσθου,,,,,0
98009,τ00091,ταλαιπώρημα,n,n-s---nn3t,ταλαιπωρήματος,,,,,0
98013,τ00095,ταλαιπωρικός,a,aps---mn1-,ταλαιπωρικός ταλαιπωρική ταλαιπωρικόν,,,/ta.lai̯.pɔː.ri.kós/,,0
98032,τ00114,ταλαπενθής,a,aps---cn5s,ταλαπενθής ταλαπενθής ταλαπενθές,,,,,0
98043,τ00125,ταλασιουργικός,a,aps---mn1-,ταλασιουργικός ταλασιουργική ταλασιουργικόν,,,,,0
