419,βαρυοδμία,n,n-s---fn1l,βαρυοδμίας,,,,,0
19831,β01880,βροτός,n,n-s---mn2-,,,,,,0
19832,β01879,βρότος,n,n-s---mn2-,βρότου,,,,,0
19834,β01882,βροτοσσόος,a,aps---cn2-,βροτοσσόος βροτοσσόος βροτοσσόον,,,,,0
19835,β01883,βροτοστόνος,n,----------,,,,,,0
19836,β01884,βροτοστυγής,a,aps---cn5s,βροτοστυγής βροτοστυγής βροτοστυγές,,,,,0
19837,β01885,βροτοφεγγής,a,aps---cn5s,βροτοφεγγής βροτοφεγγής βροτοφεγγές,,,,,0
19838,β01886,βροτόφηλος,a,aps---cn2-,βροτόφηλος βροτόφηλος βροτόφηλον,,,,,0
19896,β01940,βρυχετός,n,----------,,,,,,0
19790,β01837,βρόκος,n,----------,,,,,,0
19841,β01823,βροῦ,n,----------,,,,,,0
19842,β01836,βροῦκος,n,n-s---mn2-,βρούκου,,,,,0
19843,β01889,βρουλλοκύπερος,n,----------,,,,,,0
19844,β01890,βροχετός,n,----------,,,,,,0
19845,β01891,βροχή,n,n-s---fn1e,βροχῆς,,,/bro.kʰɛ̌ː/,,0
19846,β01892,βροχθίζω,v,----------,,,,,,0
19847,β01893,βρόχθος,n,n-s---mn2-,βρόχθου,,,,,0
19848,β01894,βροχθώδης,a,aps---cn3s,βροχθώδης βροχθώδης βροχθώ͂δες,,,,,0
19849,β01895,βροχίζω,v,----------,,,,,,0
19850,β01896,βροχικός,a,aps---mn1-,βροχικός βροχική βροχικόν,,,,,0
19851,β01897,βρόχιον,n,n-s---nn2-,βροχίου,,,,,0
19852,β01898,βροχίς,n,n-s---fn3d,βροχίδος,,,,,0
19853,β01899,βροχμός,n,----------,,,,,,0
19855,β01901,βρόχος,n,n-s---mn2-,βρόχου,,,,,0
19856,β01902,βρόχυς,n,----------,,,,,,0
19857,β01903,βρόχω,v,----------,,,,,,0
19858,β01904,βροχωτός,a,aps---cn2-,βροχωτός βροχωτός βροχωτόν,,,,,0
19859,β01587,βρῦ,n,----------,,,,,,0
19860,β01907,βρύα,n,n-s---fn1l,βρύας,,,,,0
19861,β01908,βρυάζω,v,----------,,,,/bry.áz.dɔː/,,0
19862,β01909,βρυάκτης,n,n-s---mn1e,βρυάκτου,,,,,0
19863,β01910,βρυαλιγμός,n,----------,,,,,,0
19864,β01911,βρυαλίκτης,n,n-s---mn1e,βρυαλίκτου,,,,,0
19865,β01912,βρυανιῶν,n,----------,,,,,,0
19866,β01913,βρύας,n,n-s---mn1a,βρύου,,,,,0
19867,β01914,βρυασμός,n,----------,,,,,,0
19868,β01915,βρύγδην,r,----------,,,,,,0
19870,β01917,βρυγμός,n,----------,,,,,,0
19871,β01918,βρύζω,v,----------,,,,,,0
19872,β01919,βρύθακες,v,----------,,,,,,0
19873,β01920,βρύκω,v,----------,,,,/bry̌ː.kɔː/,,0
19874,β01921,βρυλλιχίζειν,v,----------,,,,,,0
19875,β01922,βρύλλω,v,----------,,,,,,0
19876,β01822,βρῦν,v,----------,,,,,,0
19877,β01923,βρύξ,n,----------,,,,,,0
19879,β01925,βρύον,n,n-s---nn2-,βρύου,,,,,0
19880,β01926,βρυόομαι,v,----------,,,,,,0
19882,β01928,βρύσις,a,----------,,,,,,0
19883,β01929,βρύσσος,n,n-s---mn2-,βρύσσου,,,,,0
19885,β01930,βρύτανα,n,----------,,,,,,0
19886,β01931,βρυτανεῖον,n,----------,,,,,,0
19887,β01932,βρύτεα,n,n-p---nn2-,βρυτέων,,,,,0
19888,β01933,βρύτηρ,n,----------,,,,,,0
19889,β01934,βρυτικός,a,aps---mn1-,βρυτικός βρυτική βρυτικόν,,,,,0
19891,β01936,βρυτίς,n,----------,,,,,,0
19892,β01906,βρῦτος,n,n-s---mn2-,,,,,,0
19893,β01937,βρυχάνα,n,----------,,,,,,0
19894,β01938,βρυχανάομαι,v,----------,,,,,,0
19895,β01939,βρυχάομαι,v,----------,,,,,,0
19840,β01888,βροτωφελής,a,aps---cn5s,βροτωφελής βροτωφελής βροτωφελές,,,,,0
19899,β01943,βρυχηθμός,n,----------,,,,,,0
19900,β01944,βρύχημα,n,n-s---nn3t,βρυχήματος,,,,,0
19901,β01945,βρυχητήρ,n,n-s---mn3r,βρυχητῆρος,,,,,0
19902,β01946,βρυχητής,n,n-s---mn1e,βρυχητού,,,,,0
19904,β01948,βρυχιάω,v,----------,,,,,,0
19905,β01949,βρύχιος,a,----------,,,,,,0
19906,β01950,βρυχμή,n,n-s---fn1e,βρυχμῆς,,,,,0
19907,β01951,βρυχός,n,----------,,,,,,0
19908,β01952,βρύω,v,----------,,,,/bry̌ː.ɔː/,,0
19910,β01954,βρυώνη,n,n-s---fn1e,βρυώνης,,,,,0
19911,β01955,βρυωνία,n,n-s---fn1l,βρυωνίας,,,,,0
19912,β01956,βρυωνιάς,n,n-s---fn3d,βρυωνιάδος,,,,,0
19913,β01957,βρώζω,v,----------,,,,,,0
19914,β01819,βρῶμα,n,n-s---nn3t,βρώματος,,,/brɔ̂ː.ma/,,0
19915,β01958,βρωμάομαι,v,----------,,,,,,0
19916,β01959,βρωματίζω,v,----------,,,,,,0
19917,β01960,βρωμάτιον,n,n-s---nn2-,βρωματίου,,,,,0
19918,β01961,βρωματομιξαπάτη,a,----------,,,,,,0
19919,β01962,βρωμέω,v,----------,,,,,,0
19920,β01963,βρώμη,n,n-s---fn1e,βρώμης,,,,,0
19923,β01966,βρωμηστής,n,n-s---mn1e,βρωμηστού,,,,,0
19924,β01967,βρωμητής,n,n-s---mn1e,βρωμητού,,,,,0
19925,β01968,βρωμήτωρ,n,n-s---mn3r,βρωμήτορος,,,,,0
19927,β01820,βρῶμος,n,----------,,,,,,0
19928,β01821,βρῶμος,n,n-s---mn2-,βρώμου,,,,,0
19930,β01971,βρωσείω,v,----------,,,,,,0
19931,β01972,βρώσιμος,a,aps---cn2-,βρώσιμος βρώσιμος βρώσιμον,,,,,0
19932,β01905,βρῶσις,n,n-s---fn3v,βρώσεως,,,/brɔ̂ː.sis/,,0
19933,β01973,βρωστήρ,n,n-s---mn3r,βρωστῆρος,,,,,0
19934,β01974,βρωτέος,a,aps---mn1-,βρωτέος βρωτέα βρωτέον,,,,,0
19935,β01975,βρωτήρ,n,n-s---mn3r,βρωτῆρος,,,,,0
19936,β01976,βρωτικός,a,aps---mn1-,βρωτικός βρωτική βρωτικόν,,,/brɔː.ti.kós/,,0
19937,β01977,βρωτός,a,aps---mn1-,βρωτός βρωτή βρωτόν,,,,,0
19938,β01978,βρωτύς,n,----------,,,,,,0
19939,β00003,βῦ,n,----------,,,,,,0
19940,β01984,βύας,n,n-s---mn1a,βύου,,,/ˈby.as/,,0
19941,β01985,βυβλάριον,n,n-s---nn2-,βυβλαρίου,,,,,0
19942,β01986,βυβλείδιον,n,----------,,,,,,0
19943,β01987,βυβλία,n,n-s---fn1l,βυβλίας,,,,,0
19945,β01989,βύβλινος,a,aps---mn1-,βύβλινος βυβλίνη βύβλινον,,,/bý.bli.nos/,,0
19946,β01990,βυβλιοθήκη,n,----------,,,,,,0
19947,β01992,βύβλος,n,n-s---fn2-,βύβλου,,,/bý.blos/,,0
19948,β01993,βυβός,a,aps---mn1-,βυβός βυβή βυβόν,,,,,0
19949,β00757,βῦζα,n,n-s---fn1s,βῦζης,,,,,0
19950,β01994,βύζην,r,----------,,,,,,0
19951,β01996,βύζω,v,----------,,,,,,0
19952,β01995,βύζω,n,----------,,,,,,0
19953,β01997,βυθάω,v,----------,,,,,,0
19898,β01942,βρυχηδόν,r,----------,,,,,,0
19957,β02006,βυθῖτις,n,----------,,,,,,0
19958,β02001,βυθμήν,n,----------,,,,,,0
19960,β02003,βυθός,n,n-s---mn2-,βυθοῦ,,,/by.tʰós/,,0
19961,β02004,βυθοταραξοκίνησε,a,----------,,,,,,0
19962,β02005,βυθοτρεφής,a,aps---cn5s,βυθοτρεφής βυθοτρεφής βυθοτρεφές,,,,,0
19963,β02007,βυκανάω,v,----------,,,,,,0
19964,β02008,βυκάνη,n,n-s---fn1e,βυκάνης,,,,,0
19965,β02009,βυκάνημα,n,n-s---nn3t,βυκανήματος,,,,,0
19966,β02010,βυκανητής,n,n-s---mn1e,βυκανητού,,,,,0
19967,β02011,βυκανισμός,n,----------,,,,,,0
19968,β02012,βυκανιστής,n,n-s---mn1e,βυκανιστού,,,,,0
19969,β02013,βύκτης,n,n-s---mn1e,βύκτου,,,,,0
19970,β02014,βυνέω,v,----------,,,,,,0
19972,,Βύνη,n,n-s---fn1e,Βύνης,,,,,0
19973,β02016,βύνητος,n,n-s---mn2-,βυνήτου,,,,,0
19974,β02017,βύνις,n,----------,,,,,,0
19975,β02018,βυννεῖν,v,----------,,,,,,0
19976,β02019,βυνοκοπία,n,----------,,,,,,0
19977,β02020,βύρσα,n,n-s---fn1l,βύρσας,,,/býr.sa/,,0
19979,β02022,βυρσάτονος,n,----------,,,,,,0
19980,β02023,βυρσεῖον,n,n-s---nn2-,βυρσείου,,,,,0
19981,β02024,βυρσεύς,n,n-s---mn3v,βυρσέως,,,,,0
19982,β02025,βυρσεύω,v,----------,,,,,,0
19984,β02027,βυρσίνη,n,n-s---fn1e,βυρσίνης,,,,,0
19985,β02028,βύρσινος,a,aps---mn1-,βύρσινος βυρσίνη βύρσινον,,,,,0
19986,β02029,βυρσίς,n,n-s---mn3d,βυρσίδος,,,,,0
19988,β02031,βυρσοδεψέω,v,----------,,,,,,0
19989,β02032,βυρσοδέψης,n,n-s---mn1e,βυρσοδέψου,,,,,0
19990,β02033,βυρσοδέψησις,n,n-s---fn3v,βυρσοδεψησέως,,,,,0
19991,β02034,βυρσοδεψικός,a,aps---mn1-,βυρσοδεψικός βυρσοδεψική βυρσοδεψικόν,,,,,0
19992,β02035,βυρσοδέψιμος,n,----------,,,,,,0
19993,β02036,βυρσοδέψιον,n,n-s---nn2-,βυρσοδεψίου,,,,,0
19994,β02037,βυρσόκαππος,n,n-s---mn2-,βυρσοκάππου,,,,,0
19996,β02039,βυρσοπαφλαγών,n,n-s---mn3n,βυρσοπαφλαγόνος,,,,,0
19997,β02040,βυρσοποιός,a,aps---cn2-,βυρσοποιός βυρσοποιός βυρσοποιόν,,,,,0
19998,β02041,βυρσοπώλης,n,n-s---mn1e,βυρσοπώλου,,,,,0
19999,β02042,βυρσοτενής,a,aps---cn5s,βυρσοτενής βυρσοτενής βυρσοτενές,,,,,0
20000,β02043,βυρσοτομέω,v,----------,,,,,,0
20001,β02044,βυρσοτόμος,a,aps---cn2-,βυρσοτόμος βυρσοτόμος βυρσοτόμον,,,,,0
20003,β02046,βυρσόω,v,----------,,,,,,0
20004,β02047,βυρσώδης,a,aps---cn3s,βυρσώδης βυρσώδης βυρσώ͂δες,,,,,0
20005,β02048,βυσαύχην,n,----------,,,,,,0
20006,,Βύσιος,n,n-s---mn2-,Βυσίου,,,,,0
20007,β02049,βύσμα,n,n-s---nn3t,βύσματος,,,,,0
19956,β02000,βυθισμός,n,----------,,,,,,0
20011,β02053,βυσσόθεν,r,----------,,,,,,0
20012,β02054,βυσσομέτρης,n,n-s---mn1e,βυσσομέτρου,,,,,0
20013,β02056,βυσσός,n,n-s---mn2-,,,,,,0
20014,β02055,βύσσος,n,n-s---fn2-,,,,,,0
20016,β02058,βυσσοφαρεῖ,n,----------,,,,,,0
20017,β02059,βυσσόφρων,a,aps---cn3n,βυσσόφρων βυσσόφρων βυσσόφρον,,,,,0
20018,β02060,βύσσωμα,n,n-s---nn3t,βυσσώματος,,,,,0
20019,β02061,βύσταξ,n,n-s---mn3v,βύστακος,,,,,0
20020,β02062,βύστρα,n,n-s---fn1l,βύστρας,,,,,0
20021,β02063,βύω,n,n-s----n--,,,,,,0
20022,β02064,βωβός,a,aps---mn1-,βωβός βωβή βωβόν,,,,,0
20024,β02066,βωκολιάσδω,n,----------,,,,,,0
20025,β02067,βωλά,n,----------,,,,,,0
20026,β02068,βωλάζω,v,----------,,,,,,0
20027,β02069,βωλάκιον,n,n-s---nn2-,βωλακίου,,,,,0
20028,β02070,βωλάκιος,a,----------,,,,,,0
20029,β00946,βῶλαξ,n,n-s---fn3v,βῶλακος,,,,,0
20030,β02071,βωλάριον,n,n-s---nn2-,βωλαρίου,,,,,0
20031,β02072,βωληδόν,r,----------,,,,,,0
20032,β02073,βωληνή,n,n-s---fn1e,βωληνῆς,,,,,0
20034,β02075,βωλήτης,n,----------,,,,,,0
20035,β02076,βωλήτιον,n,n-s---nn2-,βωλητίου,,,,,0
20037,β02078,βωλίον,n,n-s---nn2-,βωλίου,,,,,0
20038,β02079,βωλίς,n,----------,,,,,,0
20039,β02080,βωλίτης,n,n-s---mn1e,βωλίτου,,,/bɔː.lǐː.tɛːs/,,0
20041,β02082,βωλοκοπέω,v,----------,,,,,,0
20042,β02083,βωλοκόπος,a,aps---cn2-,βωλοκόπος βωλοκόπος βωλοκόπον,,,,,0
20043,β02084,βωλόκριθον,n,n-s---nn2-,βωλοκρίθου,,,,,0
20044,β02085,βωλολογέω,v,----------,,,,,,0
20045,β02086,βώλομαι,v,----------,,,,,,0
20046,β02087,βωλόναι,n,n-p---fn1l,βωλονῶν,,,,,0
20047,β02088,βωλοποιέω,v,----------,,,,,,0
20048,β02089,βωλόπυρος,n,n-s---mn2-,βωλοπύρου,,,,,0
20049,β02090,βωλόρυχα,n,----------,,,,,,0
20050,β01043,βῶλος,n,----------,,,,,,0
20051,β02091,βωλοστροφέω,v,----------,,,,,,0
20054,β02094,βώλωσις,n,n-s---fn3v,βωλωσέως,,,,,0
20055,β02095,βωμαίνω,v,----------,,,,,,0
20056,β02096,βωμάκευμα,n,----------,,,,,,0
20057,β02097,βώμαξ,n,----------,,,,,,0
20058,β02098,βώμευσις,n,n-s---fn3v,βωμευσέως,,,,,0
20059,β02099,βωμιαῖος,a,aps---mn1-,βωμιαῖος βωμιαῖα βωμιαῖον,,,,,0
20060,β02100,βωμικός,a,aps---mn1-,βωμικός βωμική βωμικόν,,,,,0
20062,,Βώμιος,n,n-s---mn2-,Βωμίου,,,,,0
20063,β02102,βωμίς,n,n-s---fn3d,βωμίδος,,,,,0
20064,β02103,βωμισκάριον,n,n-s---nn2-,βωμισκαρίου,,,,,0
20065,β02104,βωμίσκος,n,n-s---mn2-,βωμίσκου,,,,,0
20010,β02052,βυσσοδομεύω,v,----------,,,,,,0
20068,β02106,βωμοειδής,a,aps---cn5s,βωμοειδής βωμοειδής βωμοειδές,,,,,0
20069,β02107,βωμολόχευμα,n,n-s---nn3t,βωμολοχεύματος,,,,,0
20070,β02108,βωμολοχεύομαι,v,----------,,,,,,0
20071,β02109,βωμολοχέω,v,----------,,,,,,0
20072,β02110,βωμολοχία,n,n-s---fn1l,βωμολοχίας,,,,,0
20074,β02112,βωμόλοχος,a,aps---cn2-,βωμόλοχος βωμόλοχος βωμόλοχον,,,,,0
20075,β02113,βωμονίκης,n,n-s---mn1e,βωμονίκου,,,,,0
20076,β02114,βωμός,n,n-s---mn2-,βωμοῦ,,,/bɔː.mós/,,0
20077,β02115,βωμόσπειρον,n,n-s---nn2-,βωμοσπείρου,,,,,0
20078,β01072,βῶν,n,----------,,,,,,0
20079,β02117,βωνίτης,n,n-s---mn1e,βωνίτου,,,,,0
20080,β01073,βῶξ,n,----------,,,,,,0
20082,β02119,βώριμος,n,----------,,,,,,0
20083,β01979,βῶς,n,n-s----n--,,,,,,0
20084,β02120,βωσαρή,n,----------,,,,,,0
20085,β02121,βώσας,n,----------,,,,,,0
20086,β02122,βωσιδία,n,n-s---fn1l,βωσιδίας,,,,,0
20087,β02123,βωσίον,n,n-s---nn2-,βωσίου,,,,,0
20088,β02124,βωστήρ,n,n-s---mn3r,βωστῆρος,,,,,0
20089,β02125,βωστρέω,v,----------,,,,,,0
20090,β02126,βωτάριον,a,----------,,,,,,0
20092,β02128,βώτωρ,n,n-s---mn3r,βώτορος,,,,,0
20093,γ00001,γ,l,----------,,,,,,0
20094,γ00005,γα,n,----------,,,,,,0
20095,γ00002,γᾶ,n,----------,,,,,,0
20096,,Γαγάτης,n,n-s---mn1e,Γαγάτου,,,,,0
20097,γ00008,γαγγαλιάω,v,----------,,,,,,0
20098,γ00009,γαγγαλίζω,v,----------,,,,,,0
20099,γ00010,γάγγαλος,n,n-s---mn2-,γαγγάλου,,,,,0
20101,γ00012,γαγγαμευτής,n,n-s---mn1e,γαγγαμευτού,,,,,0
20102,γ00013,γάγγαμον,n,n-s---nn2-,γαγγάμου,,,,,0
20104,,Γαγγητικός,a,aps---mn1-,Γαγγητικός Γαγγητική Γαγγητικόν,,,,,0
20105,γ00015,γαγγίας,n,----------,,,,,,0
20106,γ00007,γαγγαλίας,n,----------,,,,,,0
20107,,Γαγγῖτις,n,----------,,,,,,0
20108,γ00016,γαγγλίον,n,n-s---nn2-,γαγγλίου,,,,,0
20110,γ00018,γάγγραινα,n,n-s---fn1s,γάγγραινας,,,,,0
20112,γ00020,γαγγραινόομαι,v,----------,,,,,,0
20113,γ00021,γαγγραινώδης,a,aps---cn3s,γαγγραινώδης γαγγραινώδης γαγγραινώ͂δες,,,,,0
20114,γ00022,γαγγραίνωμα,n,----------,,,,,,0
20115,γ00023,γαγγραίνωσις,n,n-s---fn3v,γαγγραινωσέως,,,,,0
20116,,Γάδαρα,n,n-s---nn2-,Γαδάρων,,,/ɡá.da.ra/,,0
20117,γ00024,γάδαρος,n,n-s---mn2-,γαδάρου,,,/ˈɡa.da.ros/,,0
20118,γ00025,γαδεῖν,n,----------,,,,,,0
20119,,Γάδειρα,n,n-s---nn2-,Γαδείρων,,,/ɡǎː.deː.ra/,,0
20120,,Γαδειτάνα,n,n-s---fn1l,Γαδειτάνας,,,,,0
20121,γ00026,γάδος,n,----------,,,,,,0
20122,γ00028,γαεών,n,n-s---mn3n,γαεῶνος,,,,,0
20067,β02116,βωμῖτις,n,n-s---fn3d,βωμίτιδος,,,,,0
20125,,Γαζίτιον,n,n-s---nn2-,Γαζιτίου,,,,,0
20126,γ00031,γαζοφυλακέω,v,----------,,,,,,0
20128,γ00033,γαζοφύλαξ,n,----------,,,,,,0
20129,γ00034,γαθέω,v,----------,,,,,,0
20130,γ00006,γαῖα,n,n-s---fn1s,γαῖης,,,/ɡái̯.a/,,0
20131,γ00035,γαϊδάριον,n,n-s---nn2-,γαϊδαρίου,,,,,0
20132,γ00036,γαιηγενής,a,aps---cn5s,γαιηγενής γαιηγενής γαιηγενές,,,,,0
20133,γ00037,γαίηθεν,r,----------,,,,,,0
20134,γ00038,γαιήϊος,a,aps---mn1-,γαιήϊος γαιήϊα γαιήϊον,,,,,0
20135,γ00039,γαιήοχος,a,aps---cn2-,γαιήοχος γαιήοχος γαιήοχον,,,,,0
20136,γ00040,γαιηφάγος,n,----------,,,,,,0
20137,γ00041,γαιθυλα,n,----------,,,,,,0
20138,γ00042,γαϊκός,a,aps---mn1-,γαϊκός γαϊκή γαϊκόν,,,,,0
20139,γ00043,γάϊνος,n,----------,,,,,,0
20140,γ00044,γαιογράφος,n,n-s---mn2-,γαιογράφου,,,,,0
20141,γ00045,γαιοδότης,n,----------,,,,,,0
20142,γ00046,γαιομέτρης,n,n-s---mn1e,γαιομέτρου,,,,,0
20144,γ00048,γάϊος,n,----------,,,,,,0
20145,γ00049,γαιοφάγος,n,----------,,,,,,0
20147,γ00051,γαιόω,v,----------,,,,,,0
20148,γ00247,γαῖσος,n,n-s---mn2-,γαίσου,,,,,0
20149,γ00052,γαϊτανά,n,n-p---nn2-,γαϊτανῶν,,,,,0
20150,γ00053,γαίω,v,----------,,,,,,0
20151,γ00054,γαιώδης,n,----------,,,,,,0
20152,γ00055,γαιών,n,n-s---mn3n,γαιῶνος,,,,,0
20153,γ00057,γάλα,n,n-s---nn3d,γάλακτος,,n-s---ng3d=γάλακος,/ɡá.la/,,0
20154,γ00058,γάλαγγα,n,----------,,,,,,0
20156,γ00060,γαλαίριον,n,n-s---nn2-,γαλαιρίου,,,,,0
