ε05807,ἑληθερέω,v,----------,,,,,,0
34685,ε08617,ἑξαμάρτυρος,a,aps---cn2-,ἑξαμάρτυρος ἑξαμάρτυρος ἑξαμάρτυρον,,,,,0
34686,ε08618,ἐξαμαυρόω,v,----------,,,,,,0
34687,ε08619,ἐξαμαύρωσις,n,n-s---fn3v,ἐξαμαυρωσέως,,,,,0
34688,ε08621,ἐξαμάω,v,----------,,,,,,0
34689,ε08620,ἐξαμάω,n,----------,,,,,,0
34690,ε08622,ἐξαμβλέομαι,v,----------,,,,,,0
34691,ε08623,ἐξαμβλίσκω,v,----------,,,,,,0
34692,ε08624,ἐξαμβλόω,v,----------,,,,,,0
34913,ε08844,ἐξαρκέω,v,----------,,,,,,0
34640,ε08572,ἑξάκωλος,a,aps---cn2-,ἑξάκωλος ἑξάκωλος ἑξάκωλον,,,,,0
34696,ε08628,ἐξαμβλώσκω,v,----------,,,,,,0
34697,ε08629,ἐξαμβρόσαι,n,----------,,,,,,0
34698,ε08630,ἐξαμείβω,v,----------,,,,,,0
34700,ε08632,ἐξαμέλγω,v,----------,,,,,,0
34701,ε08633,ἐξαμελέω,v,----------,,,,,,0
34702,ε08634,ἑξαμέρεια,n,n-s---fn1s,ἑξαμέρειας,,,,,0
34703,ε08635,ἑξαμερής,a,aps---cn5s,ἑξαμερής ἑξαμερής ἑξαμερές,,,,,0
34705,ε08637,ἐξαμεύω,v,----------,,,,,,0
34706,ε08638,ἑξαμηνιαῖος,a,aps---mn1-,ἑξαμηνιαῖος ἑξαμηνιαῖα ἑξαμηνιαῖον,,,,,0
34708,ε08640,ἑξαμηνος,a,aps---cn2-,ἑξαμηνος ἑξαμηνος ἑξαμηνον,,,,,0
34709,ε08641,ἐξαμηχανέω,v,----------,,,,,,0
34710,ε08642,ἐξαμιλλάομαι,v,----------,,,,,,0
34711,ε08643,ἑξάμιτος,a,aps---mn1-,ἑξάμιτος ἑξαμίτη ἑξάμιτον,,,,,0
34712,ε08644,ἕξαμμα,n,n-s---nn3t,ἑξάμματος,,,,,0
34713,ε08645,ἐξαμματίζω,v,----------,,,,,,0
34714,ε08646,ἑξαμναιαῖος,n,----------,,,,,,0
34716,ε08648,ἑξάμνους,n,----------,,,,,,0
34717,ε08649,ἑξαμοιρία,n,n-s---fn1l,ἑξαμοιρίας,,,,,0
34718,ε08650,ἑξάμορος,a,aps---cn2-,ἑξάμορος ἑξάμορος ἑξάμορον,,,,,0
34719,ε08651,ἐξαμπρεύω,v,----------,,,,,,0
34720,ε08652,ἔξαμπρον,n,n-s---nn2-,ἐξάμπρου,,,,,0
34721,ε08653,ἐξαμυγδαλίζω,v,----------,,,,,,0
34722,ε08654,ἐξαμύνομαι,v,----------,,,,,,0
34724,ε08656,ἐξαμφοτερίζω,v,----------,,,,,,0
34725,ε08657,ἐξάμφω,v,----------,,,,,,0
34726,ε08658,ἐξαναβαίνω,v,----------,,,,,,0
34727,ε08659,ἐξαναβλύζω,v,----------,,,,,,0
34728,ε08660,ἐξαναβρύω,v,----------,,,,,,0
34730,ε08662,ἐξαναγιγνώσκω,v,----------,,,,,,0
34731,ε08663,ἐξαναγκάζω,v,----------,,,,,,0
34732,ε08664,ἐξαναγνωρίζω,v,----------,,,,,,0
34733,ε08665,ἐξανάγω,v,----------,,,,,,0
34734,ε08666,ἐξαναδείκνυμι,v,----------,,,,,,0
34735,ε08667,ἐξανάδοσις,n,n-s---fn3v,ἐξαναδοσέως,,,,,0
34736,ε08668,ἐξαναδύομαι,v,----------,,,,,,0
34738,ε08670,ἐξαναθλίβω,v,----------,,,,,,0
34739,ε08671,ἐξαναιρέω,v,----------,,,,,,0
34740,ε08672,ἐξαναισθητέω,v,----------,,,,,,0
34742,ε08674,ἐξανακολυμβάω,v,----------,,,,,,0
34744,ε08676,ἐξανακτίζω,v,----------,,,,,,0
34745,ε08677,ἐξαναλαμβάνω,v,----------,,,,,,0
34746,ε08678,ἐξαναλίσκω,v,----------,,,,,,0
34747,ε08679,ἐξαναλόω,v,----------,,,,,,0
34748,ε08680,ἐξαναλύω,v,----------,,,,,,0
35027,ε08956,ἐξεαγείς,n,----------,,,,,,0
34695,ε08627,ἐξάμβλωσις,n,n-s---fn3v,ἐξαμβλωσέως,,,,,0
34751,ε08683,ἐξαναπείθω,v,----------,,,,,,0
34752,ε08684,ἐξαναπληρόω,v,----------,,,,,,0
34753,ε08685,ἐξαναπνέω,v,----------,,,,,,0
34754,ε08686,ἐξαναπτύσσω,v,----------,,,,,,0
34755,ε08687,ἐξανάπτω,v,----------,,,,,,0
34756,ε08688,ἐξαναριθμέω,v,----------,,,,,,0
34757,ε08689,ἐξαναρπάζω,v,----------,,,,,,0
34758,ε08690,ἐξανασπάω,v,----------,,,,,,0
34759,ε08691,ἐξανάστασις,n,n-s---fn3v,ἐξαναστασέως,,,,,0
34761,ε08693,ἐξαναστέφω,v,----------,,,,,,0
34762,ε08694,ἐξανάστημα,n,n-s---nn3t,ἐξαναστήματος,,,,,0
34763,ε08695,ἐξαναστράπτω,v,----------,,,,,,0
34764,ε08696,ἐξαναστρέφω,v,----------,,,,,,0
34765,ε08697,ἐξανατέλλω,v,----------,,,,,,0
34766,ε08698,ἐξαναφαίνω,v,----------,,,,,,0
34767,ε08699,ἐξαναφανδόν,r,----------,,,,,,0
34769,ε08701,ἐξαναφορά,n,n-s---fn1l,ἐξαναφορᾶς,,,,,0
34770,ε08702,ἐξαναφύομαι,v,----------,,,,,,0
34771,ε08703,ἐξαναχωρέω,v,----------,,,,,,0
34772,ε08704,ἐξαναψήχω,v,----------,,,,,,0
34775,ε08707,ἐξανδραποδισμός,n,----------,,,,,,0
34776,ε08708,ἐξανδραποδιστής,n,n-s---mn1e,ἐξανδραποδιστού,,,,,0
34777,ε08709,ἐξανδρόομαι,v,----------,,,,,,0
34778,ε08710,ἐξανεγείρω,v,----------,,,,,,0
34779,ε08711,ἐξάνειμι,v,----------,,,,,,0
34780,ε08712,ἐξανεμίζω,v,----------,,,,,,0
34781,ε08713,ἐξανεμόω,v,----------,,,,,,0
34782,ε08714,ἐξανερευνάω,v,----------,,,,,,0
34783,ε08715,ἐξανέρχομαι,v,----------,,,,,,0
34785,ε08717,ἐξανευρίσκω,v,----------,,,,,,0
34786,ε08718,ἐξανέχω,v,----------,,,,,,0
34787,ε08719,ἐξανέψιοι,n,n-p---mn2-,ἐξανεψίων,,,,,0
34788,ε08720,ἐξανηλίσκω,v,----------,,,,,,0
34789,ε08721,ἐξανθέω,v,----------,,,,,,0
34790,ε08722,ἐξάνθημα,n,n-s---nn3t,ἐξανθήματος,,,,,0
34791,ε08723,ἐξάνθησις,n,n-s---fn3v,ἐξανθησέως,,,,,0
34794,ε08726,ἐξανθρακόω,v,----------,,,,,,0
34795,ε08727,ἐξανθρωπίζω,v,----------,,,,,,0
34797,ε08729,ἐξανίημι,v,----------,,,,,,0
34798,ε08730,ἐξανιμάω,v,----------,,,,,,0
34799,ε08731,ἐξανιστάνω,v,----------,,,,,,0
34800,ε08732,ἐξανίστημι,v,----------,,,,,,0
34801,ε08733,ἐξανίσχω,v,----------,,,,,,0
34802,ε08734,ἐξανοίγω,v,----------,,,,,,0
34804,ε08736,ἐξάνοιξις,n,n-s---fn3v,ἐξανοιξέως,,,,,0
34805,ε08737,ἐξαντάω,v,----------,,,,,,0
34750,ε08682,ἐξανανεόομαι,v,----------,,,,,,0
34808,ε08740,ἐξάντιον,n,n-s---nn2-,ἐξαντίου,,,,,0
34809,ε08741,ἐξαντλέω,v,----------,,,,,,0
34811,ε08743,ἐξαντλητέον,a,----------,,,,,,0
34812,ε08744,ἐξάνυσις,n,n-s---fn3v,ἐξανυσέως,,,,,0
34813,ε08745,ἐξανύω,v,----------,,,,,,0
34814,ε08746,ἑξάξεστος,a,aps---cn2-,ἑξάξεστος ἑξάξεστος ἑξάξεστον,,,,,0
34815,ε08747,ἑξαούγκιον,n,n-s---nn2-,ἑξαουγκίου,,,,,0
34816,ε08748,ἐξαπαείρω,v,----------,,,,,,0
34817,ε08749,ἐξαπαιτέω,v,----------,,,,,,0
34818,ε08750,ἑξαπάλαστος,a,aps---cn2-,ἑξαπάλαστος ἑξαπάλαστος ἑξαπάλαστον,,,,,0
34819,ε08751,ἐξαπαλλάσσω,v,----------,,,,,,0
34820,ε08752,ἐξαπαντάω,v,----------,,,,,,0
34821,ε08753,ἐξαπατάω,v,----------,,,,,,0
34822,ε08754,ἐξαπάτη,n,n-s---fn1e,ἐξαπάτης,,,,,0
34824,ε08756,ἐξαπάτησις,n,n-s---fn3v,ἐξαπατησέως,,,,,0
34825,ε08757,ἐξαπατητέον,a,----------,,,,,,0
34826,ε08758,ἐξαπατητήρ,n,n-s---mn3r,ἐξαπατητῆρος,,,,,0
34827,ε08759,ἐξαπατητής,n,n-s---mn1e,ἐξαπατητού,,,,,0
34829,ε08761,ἐξαπατύλλω,v,----------,,,,,,0
34830,ε08762,ἐξαπαφίσκω,v,----------,,,,,,0
34832,ε08765,ἑξάπεζος,a,aps---cn2-,ἑξάπεζος ἑξάπεζος ἑξάπεζον,,,,,0
34833,ε08763,ἐξαπεῖδον,v,----------,,,,,,0
34834,ε08766,ἐξαπειλέω,v,----------,,,,,,0
34835,ε08767,ἐξαπελαύνω,v,----------,,,,,,0
34836,ε08768,ἑξαπέλεκυς,n,----------,,,,,,0
34837,ε08769,ἐξαπελευθερόω,v,----------,,,,,,0
34838,ε08770,ἐξαπεύχομαι,v,----------,,,,,,0
34840,ε08772,ἑξάπηχυς,a,aps---cn5u,ἑξάπηχυς ἑξάπηχυς ἑξάπηχυ,,,,,0
34841,ε08773,ἐξάπινα,n,----------,,,,,,0
34843,ε08775,ἐξαπίνης,a,----------,,,,,,0
34844,ε08776,ἐξάπινον,n,----------,,,,,,0
34845,ε08777,ἑξαπλασιάζω,v,----------,,,,,,0
34846,ε08778,ἑξαπλασιεπίτριτος,a,aps---cn2-,ἑξαπλασιεπίτριτος ἑξαπλασιεπίτριτος ἑξαπλασιεπίτριτον,,,,,0
34847,ε08779,ἑξαπλάσιος,a,aps---mn1-,ἑξαπλάσιος ἑξαπλάσια ἑξαπλάσιον,,,,,0
34848,ε08780,ἑξαπλασίων,a,aps---cn3n,ἑξαπλασίων ἑξαπλασίων ἑξαπλασίον,,,,,0
34849,ε08781,ἑξάπλεθρος,a,aps---cn2-,ἑξάπλεθρος ἑξάπλεθρος ἑξάπλεθρον,,,,,0
34850,ε08782,ἑξάπλευρος,a,aps---cn2-,ἑξάπλευρος ἑξάπλευρος ἑξάπλευρον,,,,,0
34851,ε08783,ἑξαπλήσιος,n,----------,,,,,,0
34852,ε08784,ἑξαπλόος,a,----------,,,,,,0
34853,ε08786,ἑξαπλόω,v,----------,,,,,,0
34854,ε08785,ἐξαπλόω,v,----------,,,,,,0
34856,ε08788,ἐξαπλωτέον,a,----------,,,,,,0
34857,ε08789,ἐξαποβαίνω,v,----------,,,,,,0
34807,ε08739,ἐξαντίαι,r,----------,,,,,,0
34860,,Ἑξάπολις,n,n-s---fn3v,Ἑξαπολέως,,,,,0
34861,ε08792,ἐξαπόλλυμι,v,----------,,,,,,0
34862,ε08793,ἐξαπολογία,n,n-s---fn1l,ἐξαπολογίας,,,,,0
34863,ε08794,ἐξαπονέομαι,v,----------,,,,,,0
34864,ε08795,ἐξαπονίζω,v,----------,,,,,,0
34865,ε08796,ἐξαποξύνω,v,----------,,,,,,0
34866,ε08797,ἐξαποπατέω,v,----------,,,,,,0
34867,ε08798,ἐξαποπέμπω,v,----------,,,,,,0
34869,ε08800,ἐξαποπτύω,v,----------,,,,,,0
34870,ε08801,ἐξαπορέω,v,----------,,,,,,0
34872,ε08803,ἐξαποστέλλω,v,----------,,,,,,0
34873,ε08804,ἐξαποστολή,n,n-s---fn1e,ἐξαποστολῆς,,,,,0
34874,ε08805,ἐξαπόστολος,n,n-s---mn2-,ἐξαποστόλου,,,,,0
34875,ε08806,ἐξαποτίνω,v,----------,,,,,,0
34876,ε08807,ἑξάπους,n,----------,,,,,,0
34878,ε08809,ἐξαποφθείρω,v,----------,,,,,,0
34879,ε08810,ἐξαποχέω,v,----------,,,,,,0
34881,ε08812,ἑξαπτέρυγος,a,aps---cn2-,ἑξαπτέρυγος ἑξαπτέρυγος ἑξαπτέρυγον,,,,,0
34882,ε08813,ἐξαπτίς,n,----------,,,,,,0
34883,ε08814,ἑξάπτυχος,a,aps---cn2-,ἑξάπτυχος ἑξάπτυχος ἑξάπτυχον,,,,,0
34884,ε08815,ἐξάπτω,v,----------,,,,/ek.sáp.tɔː/,,0
34885,ε08816,ἑξάπτωτος,a,aps---cn2-,ἑξάπτωτος ἑξάπτωτος ἑξάπτωτον,,,,,0
34886,ε08817,ἑξάπυλα,n,n-p---nn2-,ἑξαπύλων,,,,,0
34887,ε08818,ἐξαπωθέω,v,----------,,,,,,0
34888,ε08819,ἑξάπωλος,a,aps---cn2-,ἑξάπωλος ἑξάπωλος ἑξάπωλον,,,,,0
34889,ε08820,ἐξάραγμα,n,n-s---nn3t,ἐξαράγματος,,,,,0
34890,ε08821,ἐξαραιόω,v,----------,,,,,,0
34891,ε08822,ἐξαραιρημένος,n,----------,,,,,,0
34892,ε08823,ἐξαράομαι,v,----------,,,,,,0
34893,ε08824,ἐξαράσσω,v,----------,,,,,,0
34894,ε08825,ἐξαργέω,v,----------,,,,,,0
34896,ε08827,ἐξαργυρίζω,v,----------,,,,,,0
34897,ε08828,ἐξαργυρισμός,n,----------,,,,,,0
34898,ε08829,ἐξαργυρόω,v,----------,,,,,,0
34899,ε08830,ἐξάρδω,v,----------,,,,,,0
34901,ε08832,ἐξαρέσκομαι,v,----------,,,,,,0
34902,ε08833,ἐξαρθρέω,v,----------,,,,,,0
34904,ε08835,ἐξάρθρησις,n,n-s---fn3v,ἐξαρθρησέως,,,,,0
34905,ε08836,ἔξαρθρος,a,aps---cn2-,ἔξαρθρος ἔξαρθρος ἔξαρθρον,,,,,0
34906,ε08837,ἐξαρθρόω,v,----------,,,,,,0
34907,ε08838,ἐξάρθρωμα,n,n-s---nn3t,ἐξαρθρώματος,,,,,0
34908,ε08839,ἐξάρθρωσις,n,n-s---fn3v,ἐξαρθρωσέως,,,,,0
34909,ε08840,ἐξαριθμέω,v,----------,,,,,,0
34910,ε08841,ἐξαρίθμησις,n,n-s---fn3v,ἐξαριθμησέως,,,,,0
34859,ε08791,ἐξαποδύνω,v,----------,,,,,,0
34916,ε08847,ἔξαρμα,n,n-s---nn3t,ἐξάρματος,,,,,0
34917,ε08848,ἐξαρμόζω,v,----------,,,,,,0
34920,ε08851,ἐξαρνέομαι,v,----------,,,,,,0
34921,ε08852,ἐξάρνησις,n,n-s---fn3v,ἐξαρνησέως,,,,,0
34922,ε08853,ἐξαρνητικός,a,aps---mn1-,ἐξαρνητικός ἐξαρνητική ἐξαρνητικόν,,,,,0
34923,ε08854,ἔξαρνος,a,aps---cn2-,ἔξαρνος ἔξαρνος ἔξαρνον,,,,,0
34924,ε08855,ἐξάρνυμαι,v,----------,,,,,,0
34925,ε08856,ἐξαροτριάω,v,----------,,,,,,0
34926,ε08857,ἐξαρπάζω,v,----------,,,,,,0
34927,ε08858,ἐξαρσις,n,n-s---fn3v,ἐξαρσέως,,,,,0
34928,ε08859,ἐξαρτάω,v,----------,,,,,,0
34930,ε08861,ἐξάρτημα,n,n-s---nn3t,ἐξαρτήματος,,,,,0
34931,ε08862,ἐξάρτησις,n,n-s---fn3v,ἐξαρτησέως,,,,,0
34932,ε08863,ἐξαρτία,n,n-s---fn1l,ἐξαρτίας,,,,,0
34933,ε08864,ἐξαρτίζω,v,----------,,,,,,0
34934,ε08865,ἐξάρτιος,a,aps---cn2-,ἐξάρτιος ἐξάρτιος ἐξάρτιον,,,,,0
34935,ε08866,ἐξαρτιόω,v,----------,,,,,,0
34936,ε08867,ἐξάρτισις,n,n-s---fn3v,ἐξαρτισέως,,,,,0
34937,ε08868,ἐξαρτισμός,n,----------,,,,,,0
34939,ε08870,ἐξάρτυσις,n,n-s---fn3v,ἐξαρτυσέως,,,,,0
34940,ε08871,ἐξαρτύω,v,----------,,,,,,0
34941,ε08872,ἐξάρυσις,n,n-s---fn3v,ἐξαρυσέως,,,,,0
34942,ε08873,ἐξαρύω,v,----------,,,,,,0
34943,ε08876,ἐξαρχῆς,r,----------,,,,,,0
34945,ε08875,ἔξαρχος,n,n-s---cn2-,ἐξάρχου,,,,,0
34946,ε08877,ἐξάρχω,v,----------,,,,,,0
34947,ε08878,ἐξάρχων,n,n-s---mn3t,ἐξάρχοντος,,,,,0
34948,ε09552,ἑξᾶς,n,n-s---mn2c,ἑξᾶ,,,,,0
34949,ε08879,ἑξάς,n,n-s---fn3d,ἑξάδος,,,,,0
34951,ε08881,ἐξασθενέω,v,----------,,,,,,0
34952,ε08882,ἐξασθενής,a,aps---cn5s,ἐξασθενής ἐξασθενής ἐξασθενές,,,,,0
34953,ε08883,ἐξασθμαίνω,v,----------,,,,,,0
34954,ε08884,ἑξασκελής,a,aps---cn5s,ἑξασκελής ἑξασκελής ἑξασκελές,,,,,0
34955,ε08885,ἐξασκέω,v,----------,,,,,,0
34956,ε08886,ἐξασκητέον,a,----------,,,,,,0
34957,ε08887,ἑξασσός,a,aps---mn1-,ἑξασσός ἑξασσή ἑξασσόν,,,,,0
34959,ε08889,ἑξάστερον,n,n-s---nn2-,ἑξαστέρου,,,,,0
34960,ε08890,ἔξαστις,n,n-s---fn3v,ἐξάστιος,,,,,0
34961,ε08891,ἑξάστιχος,a,aps---cn2-,ἑξάστιχος ἑξάστιχος ἑξάστιχον,,,,,0
34962,ε08892,ἑξάστοιχος,n,----------,,,,,,0
34963,ε08893,ἐξαστράπτω,v,----------,,,,,,0
34964,ε08894,ἑξάστυλος,a,aps---cn2-,ἑξάστυλος ἑξάστυλος ἑξάστυλον,,,,,0
34965,ε08895,ἑξασύλλαβος,a,aps---cn2-,ἑξασύλλαβος ἑξασύλλαβος ἑξασύλλαβον,,,,,0
34966,ε08896,ἐξασφαλίζω,v,----------,,,,,,0
34967,ε08897,ἐξατιμάζω,v,----------,,,,,,0
34915,ε08846,ἐξαρκούντως,r,----------,,,,,,0
34971,ε08902,ἐξατμισμός,n,----------,,,,,,0
34972,ε08903,ἐξατονέω,v,----------,,,,,,0
34973,ε08904,ἐξατονίζομαι,v,----------,,,,,,0
34974,ε08905,ἑξάτονος,a,aps---cn2-,ἑξάτονος ἑξάτονος ἑξάτονον,,,,,0
34975,ε08906,ἐξατράπης,n,----------,,,,,,0
34976,ε08907,ἐξαττικίζω,v,----------,,,,,,0
34977,ε09554,ἐξᾴττω,v,----------,,,,,,0
34978,ε08908,ἐξαυάζω,v,----------,,,,,,0
34979,ε08909,ἐξαυαίνω,v,----------,,,,,,0
34982,ε08912,ἐξαυδάω,v,----------,,,,,,0
34983,ε08913,ἐξαυθαδίζομαι,v,----------,,,,,,0
34984,ε08486,ἐξαῦθις,r,----------,,,,,,0
34985,ε08914,ἐξαυλακίζω,v,----------,,,,,,0
34986,ε08915,ἐξαυλέω,v,----------,,,,,,0
34987,ε08916,ἐξαυλίζομαι,v,----------,,,,,,0
34988,ε08917,ἔξαυλος,a,aps---cn2-,ἔξαυλος ἔξαυλος ἔξαυλον,,,,,0
34989,ε08918,ἐξαύξω,v,----------,,,,,,0
34990,ε08919,ἔξαυος,a,aps---cn2-,ἔξαυος ἔξαυος ἔξαυον,,,,,0
34992,ε08921,ἐξαύστριον,n,n-s---nn2-,ἐξαυστρίου,,,,,0
34993,ε08923,ἐξαυτῆς,r,----------,,,,,,0
34994,ε08899,ἐξαῦτις,r,----------,,,,,,0
34995,ε08922,ἐξαυτομολέω,v,----------,,,,,,0
34996,ε08924,ἐξαυχενισμός,n,----------,,,,,,0
34997,ε08925,ἐξαυχέω,v,----------,,,,,,0
34998,ε08926,ἐξαυχμέω,v,----------,,,,,,0
34999,ε08929,ἐξαύω,v,----------,,,,,,0
35000,ε08928,ἐξαύω,n,----------,,,,,,0
35001,ε08927,ἐξαύω,v,----------,,,,,,0
35003,ε08931,ἐξαφανίζω,v,----------,,,,/ek.sa.pʰa.níz.dɔː/,,0
35004,ε08932,ἑξαφάρμακον,n,n-s---nn2-,ἑξαφαρμάκου,,,,,0
35005,ε08933,ἐξαφεδρόομαι,v,----------,,,,,,0
35006,ε08934,ἐξαφή,n,n-s---fn1e,ἐξαφῆς,,,,,0
35007,ε08935,ἐξαφίημι,v,----------,,,,,,0
35008,ε08936,ἐξάφινα,n,----------,,,,,,0
35011,ε08939,ἑξάφορον,n,n-s---nn2-,ἑξαφόρου,,,,,0
35012,ε08940,ἐξαφρίζω,v,----------,,,,,,0
35013,ε08941,ἐξαφρόομαι,v,----------,,,,,,0
35014,ε08942,ἐξαφύω,v,----------,,,,,,0
35015,ε08944,ἑξάχαλκος,n,n-s---mn2-,ἑξαχάλκου,,,,,0
35016,ε08945,ἑξάχειρ,n,----------,,,,,,0
35017,ε08943,ἑξαχῇ,r,----------,,,,,,0
35019,ε08947,ἑξάχοος,n,----------,,,,,,0
35021,ε08950,ἐξαχυρόω,v,----------,,,,,,0
35022,ε08949,ἑξαχῶς,r,----------,,,,,,0
35023,ε08951,ἔξαψις,n,n-s---fn3v,ἐξαψέως,,,,,0
35024,ε08952,ἑξάωρος,a,aps---cn2-,ἑξάωρος ἑξάωρος ἑξάωρον,,,,,0
35025,ε08953,ἕξγυον,n,----------,,,,,,0
35026,ε08954,ἑξδάκτυλος,a,aps---cn2-,ἑξδάκτυλος ἑξδάκτυλος ἑξδάκτυλον,,,,,0
34969,ε08900,ἐξατμιάω,v,----------,,,,,,0
35030,ε08959,ἐξεγγύησις,n,n-s---fn3v,ἐξεγγυησέως,,,,,0
35031,ε08960,ἐξεγείρω,v,----------,,,,,,0
35032,ε08961,ἐξέγερσις,n,n-s---fn3v,ἐξεγερσέως,,,,,0
35033,ε08962,ἐξεγέρτης,n,n-s---mn1e,ἐξεγέρτου,,,,,0
35034,ε08963,ἐξεγκατίζω,v,----------,,,,,,0
35036,ε08965,ἐξεδαφισθέν,n,----------,,,,,,0
35037,ε08967,ἐξέδοντα,n,n-p---nn2-,ἐξεδόντων,,,,,0
35038,ε08968,ἐξέδρα,n,n-s---fn1l,ἐξέδρας,,,,,0
35039,ε08969,ἐξέδριον,n,n-s---nn2-,ἐξεδρίου,,,,,0
35041,ε08971,ἔξεδρος,a,aps---cn2-,ἔξεδρος ἔξεδρος ἔξεδρον,,,,,0
35042,ε08972,ἐξεζητημένως,r,----------,,,,,,0
35043,ε08973,ἐξεθίζομαι,v,----------,,,,,,0
35045,ε08975,ἑξείδιον,n,n-s---nn2-,ἑξειδίου,,,,,0
35046,ε08966,ἐξεῖδον,v,----------,,,,,,0
35047,ε08976,ἑξείης,r,rp--------,,,,/hek.sěː.ɛːs/,,0
35048,ε08977,ἐξεικάζω,v,----------,,,,,,0
35049,ε08978,ἐξείκασμα,n,n-s---nn3t,ἐξεικάσματος,,,,,0
35050,ε08979,ἑξεικάττιοι,n,----------,,,,,,0
35052,ε08981,ἐξειλεγμένως,r,----------,,,,,,0
35053,ε08982,ἐξειλέω,v,----------,,,,,,0
35055,ε08984,ἐξείλλω,v,----------,,,,,,0
35056,ε08985,ἐξειλύω,v,----------,,,,,,0
35057,ε08986,ἔξειμι,v,----------,,,,,,0
35058,ε08987,ἔξειμι,v,----------,,,,,,0
35059,ε09051,ἐξεῖπον,v,----------,,,,,,0
35061,ε08989,ἐξείργω,v,----------,,,,,,0
35062,ε08990,ἔξειρξις,n,n-s---fn3v,ἐξειρξέως,,,,,0
35063,ε08991,ἐξείρομαι,v,----------,,,,,,0
35064,ε08992,ἐξειρύω,v,----------,,,,,,0
35065,ε08993,ἐξείρω,v,----------,,,,,,0
